2014-15,Institute
60,JSS Academy of Higher Education and Research 
41,Indian Institute of Technology Mandi 
30,S.R.M. Institute of Science and Technology 
30,Sri Ramachandra Institute of Higher Education and Research 
30,Amrita Vishwa Vidyapeetham 
30,"Andhra University, Visakhapatnam "
30,Manipal Academy of Higher Education 
0,Osmania University 
0,North Eastern Hill University 
0,National Institute of Technology Warangal 
0,National Institute of Technology Tiruchirappalli 
0,National Institute of Technology Silchar 
0,National Institute of Technology Rourkela 
0,National Institute of Technology Karnataka 
0,National Institute of Technology Durgapur 
0,Motilal Nehru National Institute of Technology 
0,Mysore University 
0,Mumbai University 
0,Panjab University 
0,Malaviya National Institute of Technology 
0,Mahatma Gandhi University 
0,Madurai Kamaraj University 
0,Lovely Professional University 
0,Koneru Lakshmaiah Education Foundation University (K L College of Engineering) 
0,King George`s Medical University 
0,PSG College of Technology 
0,Alagappa University 
0,Pondicherry University 
0,Symbiosis International 
0,Visva Bharati 
0,Vellore Institute of Technology 
0,University of Madras 
0,University of Kashmir 
0,University of Hyderabad 
0,University of Delhi 
0,Thapar Institute of Engineering and Technology 
0,Tezpur University 
0,Tata Institute of Social Sciences 
0,Sri Venkateswara University 
0,Kalinga Institute of Industrial Technology 
0,Sri Sivasubramaniya Nadar College of Engineering 
0,Siksha `O` Anusandhan 
0,Shiv Nadar University 
0,Shanmugha Arts Science Technology & Research Academy 
0,Savitribai Phule Pune University 
0,Saveetha Institute of Medical and Technical Sciences 
0,Sathyabama Institute of Science and Technology 
0,Sardar Vallabhbhai National Institute of Technology 
0,SVKM`s Narsee Monjee Institute of Management Studies 
0,Kerala University 
0,Jamia Millia Islamia 
0,Kalasalingam Academy of Research and Higher Education 
0,Chandigarh University 
0,Homi Bhabha National Institute 
0,Guru Nanak Dev University 
0,Guru Gobind Singh Indraprastha University 
0,Gauhati University 
0,Dr. D. Y. Patil Vidyapeeth 
0,Dr. B. R. Ambedkar National Institute of Technology 
0,Delhi Technological University 
0,Datta Meghe Institute of Medical Sciences 
0,Cochin University of Science and Technology 
0,Calicut University 
0,Jawaharlal Nehru University 
0,Calcutta University 
0,Birla Institute of Technology & Science -Pilani 
0,Bharathidasan University 
0,Bharathiar University 
0,Bharath Institute of Higher Education & Research 
0,Banasthali Vidyapith 
0,Banaras Hindu University 
0,Anna University 
0,Amity University 
0,Indian Institute of Engineering Science and Technology 
0,Indian Institute of Science 
0,Indian Institute of Science Education & Research Bhopal 
0,Indian Institute of Science Education & Research Kolkata 
0,Aligarh Muslim University 
0,Jamia Hamdard 
0,Jadavpur University 
0,Institute of Chemical Technology 
0,Indian Institute of Technology Ropar 
0,Indian Institute of Technology Roorkee 
0,Indian Institute of Technology Patna 
0,Indian Institute of Technology Madras 
0,Indian Institute of Technology Kharagpur 
0,Indian Institute of Technology Kanpur 
0,Indian Institute of Technology Indore 
0,Indian Institute of Technology Hyderabad 
0,Indian Institute of Technology Guwahati 
0,Indian Institute of Technology Gandhinagar 
0,Indian Institute of Technology Delhi 
0,Indian Institute of Technology Bombay 
0,Indian Institute of Technology Bhubaneswar 
0,Indian Institute of Technology (Indian School of Mines) 
0,Indian Institute of Technology (Banaras Hindu University) Varanasi 
0,Visvesvaraya National Institute of Technology 
