Institute,Total
Indian Institute of Science ,12956209336.0
Indian Institute of Technology Madras ,12303940195.0
Indian Institute of Technology Delhi ,9896430688.0
Indian Institute of Technology Bombay ,8361327625.0
Indian Institute of Technology Kanpur ,6292492779.0
