Institute,2019-20
Symbiosis International ,273963185
Osmania University ,162065000
Amity University ,160270980
Birla Institute of Technology & Science -Pilani ,144953618
Guru Nanak Dev University ,128174840
Indian Institute of Technology Madras ,115710353
Manipal Academy of Higher Education ,84015021
SVKM`s Narsee Monjee Institute of Management Studies ,83465500
"Andhra University, Visakhapatnam ",77788020
Indian Institute of Technology Delhi ,77222319
Indian Institute of Technology Bombay ,51551666
Lovely Professional University ,49920000
Bharath Institute of Higher Education & Research ,48656700
Jamia Millia Islamia ,45912755
Chandigarh University ,43895500
Shanmugha Arts Science Technology & Research Academy ,39454800
Guru Gobind Singh Indraprastha University ,35253500
University of Delhi ,33700000
Tata Institute of Social Sciences ,32895060
JSS Academy of Higher Education and Research ,32360281
Saveetha Institute of Medical and Technical Sciences ,32100000
Indian Institute of Technology Kharagpur ,31948062
Mumbai University ,30296860
Kalasalingam Academy of Research and Higher Education ,28350200
Indian Institute of Technology Roorkee ,25463421
Indian Institute of Technology Hyderabad ,23620000
Shiv Nadar University ,22442067
Amrita Vishwa Vidyapeetham ,21627400
Indian Institute of Technology (Indian School of Mines) ,20440349
Institute of Chemical Technology ,19800000
Datta Meghe Institute of Medical Sciences ,14800000
National Institute of Technology Karnataka ,14766775
Indian Institute of Science ,14650012
Gujarat University ,13669520
Mahatma Gandhi University ,12455800
Indian Institute of Technology Kanpur ,10525000
Sri Sivasubramaniya Nadar College of Engineering ,9533900
University of Kashmir ,8800000
National Institute of Technology Tiruchirappalli ,8643460
University of Madras ,6688370
Sri Ramachandra Institute of Higher Education and Research ,6686899
Delhi Technological University ,6000000
Dr. D. Y. Patil Vidyapeeth ,5980000
Sathyabama Institute of Science and Technology ,5886000
Calcutta University ,4678900
Cochin University of Science and Technology ,3830895
Kalinga Institute of Industrial Technology ,3750000
S.R.M. Institute of Science and Technology ,3735000
Kerala University ,2800000
Siksha `O` Anusandhan ,2250000
Alagappa University ,2126000
Aligarh Muslim University ,2118690
Thapar Institute of Engineering and Technology ,1680000
Madurai Kamaraj University ,1653501
Jamia Hamdard ,1643000
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,1416012
PSG College of Technology ,1250000
Banasthali Vidyapith ,1092000
Savitribai Phule Pune University ,1015700
Mysore University ,1000000
Banaras Hindu University ,910000
Dr. B. R. Ambedkar National Institute of Technology ,881000
National Institute of Technology Warangal ,600000
Tezpur University ,594690
Gauhati University ,585000
Indian Institute of Technology Guwahati ,350000
Bharathiar University ,330200
Sardar Vallabhbhai National Institute of Technology ,198750
University of Hyderabad ,190000
Sri Venkateswara University ,185000
Pondicherry University ,149500
Jawaharlal Nehru University ,61758
Bharathidasan University ,61000
Motilal Nehru National Institute of Technology ,35000
"Indian Institute of Science Education & Research, Mohali ",0
Indian Institute of Science Education & Research Kolkata ,0
Indian Institute of Technology Ropar ,0
National Institute of Technology Rourkela ,0
North Eastern Hill University ,0
Indian Institute of Engineering Science and Technology ,0
Anna University ,0
Homi Bhabha National Institute ,0
Indian Institute of Science Education & Research Pune ,0
National Institute of Technology Durgapur ,0
Malaviya National Institute of Technology ,0
Indian Institute of Technology Patna ,0
Indian Institute of Technology Bhubaneswar ,0
Indian Institute of Science Education & Research Bhopal ,0
Indian Institute of Technology (Banaras Hindu University) Varanasi ,0
Visvesvaraya National Institute of Technology ,0
Indian Institute of Technology Mandi ,0
National Institute of Technology Silchar ,0
Visva Bharati ,0
Calicut University ,0
Indian Institute of Technology Gandhinagar ,0
King George`s Medical University ,0
Vellore Institute of Technology ,0
Indian Institute of Technology Indore ,0
Jadavpur University ,0
Panjab University ,0
