Institute,Academic Year,Percentage of unplaced
G. B. Pant Universtiy of Agriculture and Technology,2015-16,63.186077643908966
G. B. Pant Universtiy of Agriculture and Technology,2016-17,28.436911487758948
G. B. Pant Universtiy of Agriculture and Technology,2017-18,52.15311004784689
Gauhati University,2015-16,86.17021276595744
Gauhati University,2016-17,82.6530612244898
Gauhati University,2017-18,76.28865979381443
Gauhati University,2018-19,21.49532710280374
Gauhati University,2019-20,9.90990990990991
Guru Gobind Singh Indraprastha University,2015-16,14.50381679389313
Guru Gobind Singh Indraprastha University,2016-17,40.17857142857143
Guru Gobind Singh Indraprastha University,2017-18,37.58620689655172
Guru Gobind Singh Indraprastha University,2018-19,46.82779456193353
Guru Gobind Singh Indraprastha University,2019-20,43.58974358974359
Guru Nanak Dev University,2015-16,0.0
Guru Nanak Dev University,2016-17,0.0
Guru Nanak Dev University,2017-18,0.0
Guru Nanak Dev University,2018-19,0.0
Guru Nanak Dev University,2019-20,0.0
Indian Institute of Engineering Science and Technology,2015-16,15.503875968992247
Indian Institute of Engineering Science and Technology,2016-17,22.129186602870814
Indian Institute of Engineering Science and Technology,2017-18,25.71428571428571
Indian Institute of Engineering Science and Technology,2018-19,17.505470459518598
Indian Institute of Engineering Science and Technology,2019-20,19.074074074074073
Indian Institute of Science,2015-16,23.809523809523807
Indian Institute of Science,2016-17,10.614525139664805
Indian Institute of Science,2017-18,1.8604651162790697
Indian Institute of Science,2018-19,0.0
Indian Institute of Science,2019-20,0.0
Indian Institute of Science Education & Research Bhopal,2015-16,12.307692307692308
Indian Institute of Science Education & Research Bhopal,2016-17,15.841584158415841
Indian Institute of Science Education & Research Bhopal,2017-18,24.409448818897637
Indian Institute of Science Education & Research Bhopal,2018-19,0.0
Indian Institute of Science Education & Research Bhopal,2019-20,0.0
Indian Institute of Science Education & Research Kolkata,2015-16,12.82051282051282
Indian Institute of Science Education & Research Kolkata,2016-17,8.695652173913043
Indian Institute of Science Education & Research Kolkata,2017-18,19.291338582677163
Indian Institute of Science Education & Research Kolkata,2018-19,44.13793103448276
Indian Institute of Science Education & Research Kolkata,2019-20,34.30232558139535
Indian Institute of Science Education & Research Mohali,2015-16,42.68292682926829
Indian Institute of Science Education & Research Mohali,2016-17,44.680851063829785
Indian Institute of Science Education & Research Mohali,2017-18,55.947136563876654
Indian Institute of Science Education & Research Mohali,2018-19,63.63636363636363
Indian Institute of Science Education & Research Pune,2015-16,34.375
Indian Institute of Science Education & Research Pune,2016-17,47.91666666666667
Indian Institute of Science Education & Research Pune,2017-18,57.826086956521735
Indian Institute of Science Education & Research Pune,2018-19,58.3941605839416
Indian Institute of Science Education & Research Pune,2019-20,57.432432432432435
Indian Institute of Science Education & Research Thiruvananthapuram,2016-17,78.57142857142857
Indian Institute of Science Education & Research Thiruvananthapuram,2017-18,56.03448275862068
Indian Institute of Science Education & Research Thiruvananthapuram,2018-19,45.23809523809524
"Indian Institute of Science Education & Research, Mohali",2017-18,57.65765765765766
"Indian Institute of Science Education & Research, Mohali",2018-19,72.67080745341616
"Indian Institute of Science Education & Research, Mohali",2019-20,55.828220858895705
Indian Institute of Technology (BHU) Varanasi,2016-17,0.0
Indian Institute of Technology (BHU) Varanasi,2017-18,3.669724770642202
Indian Institute of Technology (BHU) Varanasi,2018-19,2.6525198938992043
Indian Institute of Technology (Banaras Hindu University) Varanasi,2015-16,0.273972602739726
Indian Institute of Technology (Banaras Hindu University) Varanasi,2016-17,0.0
Indian Institute of Technology (Banaras Hindu University) Varanasi,2017-18,3.669724770642202
Indian Institute of Technology (Banaras Hindu University) Varanasi,2018-19,2.6525198938992043
Indian Institute of Technology (Banaras Hindu University) Varanasi,2019-20,7.589880159786951
Indian Institute of Technology (Indian School of Mines),2016-17,19.130434782608695
Indian Institute of Technology (Indian School of Mines),2017-18,19.128329297820823
Indian Institute of Technology (Indian School of Mines),2018-19,18.404118404118407
Indian Institute of Technology (Indian School of Mines),2019-20,26.040268456375838
Indian Institute of Technology (Indian School of Mines) Dhanbad,2015-16,24.441524310118265
Indian Institute of Technology (Indian School of Mines) Dhanbad,2016-17,20.372670807453417
Indian Institute of Technology (Indian School of Mines) Dhanbad,2017-18,26.634382566585955
Indian Institute of Technology Bhubaneswar,2015-16,2.857142857142857
Indian Institute of Technology Bhubaneswar,2016-17,9.219858156028367
Indian Institute of Technology Bhubaneswar,2017-18,7.59493670886076
Indian Institute of Technology Bhubaneswar,2018-19,11.486486486486488
Indian Institute of Technology Bhubaneswar,2019-20,17.94871794871795
Indian Institute of Technology Bombay,2015-16,20.599999999999998
Indian Institute of Technology Bombay,2016-17,33.33333333333333
Indian Institute of Technology Bombay,2017-18,18.941979522184297
Indian Institute of Technology Bombay,2018-19,9.5679012345679
Indian Institute of Technology Bombay,2019-20,9.0625
Indian Institute of Technology Delhi,2015-16,13.812154696132598
Indian Institute of Technology Delhi,2016-17,22.727272727272727
Indian Institute of Technology Delhi,2017-18,23.394495412844037
Indian Institute of Technology Delhi,2018-19,8.94308943089431
Indian Institute of Technology Delhi,2019-20,7.538461538461538
Indian Institute of Technology Gandhinagar,2015-16,19.047619047619047
Indian Institute of Technology Gandhinagar,2016-17,20.982142857142858
Indian Institute of Technology Gandhinagar,2017-18,13.725490196078432
Indian Institute of Technology Gandhinagar,2018-19,32.5
Indian Institute of Technology Gandhinagar,2019-20,23.717948717948715
Indian Institute of Technology Guwahati,2015-16,16.18705035971223
Indian Institute of Technology Guwahati,2016-17,25.537403267411868
Indian Institute of Technology Guwahati,2017-18,17.71186440677966
Indian Institute of Technology Guwahati,2018-19,4.844290657439446
