Institute,Programs,Overfill-percent
Siksha `O` Anusandhan ,UG [5 Years Program(s)],289.30232558139534
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,UG [4 Years Program(s)],287.81609195402297
Indian Institute of Engineering Science and Technology ,UG [5 Years Program(s)],287.5
Shanmugha Arts Science Technology & Research Academy ,UG [5 Years Program(s)],287.22222222222223
Bharath Institute of Higher Education & Research ,UG [5 Years Program(s)],286.7073170731707
Indian Institute of Technology Kanpur ,UG [4 Years Program(s)],286.6593164277839
Shanmugha Arts Science Technology & Research Academy ,UG [4 Years Program(s)],286.25
Birla Institute of Technology & Science -Pilani ,UG [4 Years Program(s)],285.74743122306927
Indian Institute of Technology Roorkee ,PG-Integrated,284.13793103448273
Manipal Academy of Higher Education ,UG [4 Years Program(s)],282.1791926485067
Chandigarh University ,UG [4 Years Program(s)],280.96153846153845
National Institute of Technology Tiruchirappalli ,UG [4 Years Program(s)],280.8091286307054
Amity University ,UG [4 Years Program(s)],279.5483870967742
Indian Institute of Technology (Indian School of Mines) ,UG [4 Years Program(s)],279.17146144994246
National Institute of Technology Tiruchirappalli ,UG [5 Years Program(s)],278.3333333333333
National Institute of Technology Warangal ,UG [4 Years Program(s)],277.8884462151394
Banasthali Vidyapith ,UG [3 Years Program(s)],274.75728155339806
Vellore Institute of Technology ,PG-Integrated,274.1666666666667
Saveetha Institute of Medical and Technical Sciences ,UG [4 Years Program(s)],273.82978723404256
Symbiosis International ,UG [5 Years Program(s)],273.48214285714283
Tezpur University ,UG [4 Years Program(s)],271.7877094972067
Motilal Nehru National Institute of Technology ,UG [4 Years Program(s)],267.9920477137177
Bharathidasan University ,PG-Integrated,265.0
Indian Institute of Technology Delhi ,UG [4 Years Program(s)],260.87420042643924
Indian Institute of Technology Hyderabad ,UG [4 Years Program(s)],260.5678233438486
Indian Institute of Technology Roorkee ,UG [4 Years Program(s)],260.2711157455683
Visvesvaraya National Institute of Technology ,UG [4 Years Program(s)],260.23579849946407
Indian Institute of Technology Indore ,UG [4 Years Program(s)],258.5034013605442
National Institute of Technology Durgapur ,UG [4 Years Program(s)],258.1012658227848
Indian Institute of Technology Bhubaneswar ,UG [4 Years Program(s)],257.58620689655174
Malaviya National Institute of Technology ,UG [5 Years Program(s)],256.6265060240964
Kalasalingam Academy of Research and Higher Education ,UG [4 Years Program(s)],256.3565891472868
Symbiosis International ,UG [4 Years Program(s)],256.02150537634407
"Andhra University, Visakhapatnam ",UG [5 Years Program(s)],254.54545454545453
Sardar Vallabhbhai National Institute of Technology ,UG [4 Years Program(s)],254.28571428571428
Amrita Vishwa Vidyapeetham ,UG [4 Years Program(s)],253.16831683168317
Indian Institute of Engineering Science and Technology ,UG [4 Years Program(s)],251.49359886201992
Jadavpur University ,UG [4 Years Program(s)],250.36496350364965
"Andhra University, Visakhapatnam ",UG [3 Years Program(s)],250.0
Delhi Technological University ,UG [4 Years Program(s)],249.78813559322035
Visva Bharati ,UG [4 Years Program(s)],247.78156996587032
Banasthali Vidyapith ,UG [4 Years Program(s)],247.09677419354838
National Institute of Technology Rourkela ,UG [4 Years Program(s)],244.55231930960088
Indian Institute of Technology Guwahati ,UG [4 Years Program(s)],243.8307873090482
Cochin University of Science and Technology ,PG [3 Years Program(s)],238.33333333333334
Indian Institute of Technology Ropar ,PG-Integrated,237.5
Homi Bhabha National Institute ,PG-Integrated,236.5
University of Kashmir ,UG [4 Years Program(s)],235.1851851851852
Sardar Vallabhbhai National Institute of Technology ,PG-Integrated,235.14851485148515
Vellore Institute of Technology ,UG [4 Years Program(s)],233.60313315926894
Tata Institute of Social Sciences ,UG [3 Years Program(s)],233.58778625954199
Sri Ramachandra Institute of Higher Education and Research ,UG [4 Years Program(s)],233.2972972972973
Indian Institute of Technology (Banaras Hindu University) Varanasi ,UG [4 Years Program(s)],233.10276679841897
Jamia Hamdard ,UG [5 Years Program(s)],231.85185185185185
Mysore University ,UG [5 Years Program(s)],231.57894736842104
Sathyabama Institute of Science and Technology ,UG [4 Years Program(s)],231.36200716845877
National Institute of Technology Silchar ,UG [4 Years Program(s)],227.03030303030303
Jamia Hamdard ,UG [4 Years Program(s)],225.6900212314225
Jadavpur University ,UG [5 Years Program(s)],224.86187845303868
Sathyabama Institute of Science and Technology ,UG [5 Years Program(s)],223.57142857142858
Siksha `O` Anusandhan ,UG [4 Years Program(s)],223.53571428571428
Bharath Institute of Higher Education & Research ,UG [4 Years Program(s)],222.40384615384616
S.R.M. Institute of Science and Technology ,UG [4 Years Program(s)],221.56141223272004
Amity University ,UG [5 Years Program(s)],221.28571428571428
Indian Institute of Technology Kharagpur ,UG [4 Years Program(s)],220.89171974522293
JSS Academy of Higher Education and Research ,PG [3 Years Program(s)],220.0
Sri Venkateswara University ,UG [5 Years Program(s)],217.5
Thapar Institute of Engineering and Technology ,UG [4 Years Program(s)],217.13024282560707
Malaviya National Institute of Technology ,UG [4 Years Program(s)],216.66666666666666
Sri Venkateswara University ,UG [4 Years Program(s)],215.85365853658536
Datta Meghe Institute of Medical Sciences ,UG [4 Years Program(s)],214.0909090909091
Indian Institute of Technology Bhubaneswar ,UG [5 Years Program(s)],213.13131313131314
Dr. D. Y. Patil Vidyapeeth ,UG [4 Years Program(s)],211.86046511627907
Amrita Vishwa Vidyapeetham ,PG-Integrated,209.75
Indian Institute of Technology Madras ,PG [3 Years Program(s)],205.71428571428572
Osmania University ,UG [3 Years Program(s)],205.0
Panjab University ,UG [4 Years Program(s)],203.55555555555554
Thapar Institute of Engineering and Technology ,PG [3 Years Program(s)],203.33333333333334
Indian Institute of Technology Ropar ,UG [4 Years Program(s)],201.5151515151515
Jamia Millia Islamia ,UG [3 Years Program(s)],201.26459143968873
University of Kashmir ,UG [3 Years Program(s)],200.0
Gauhati University ,PG [3 Years Program(s)],200.0
"Andhra University, Visakhapatnam ",PG [3 Years Program(s)],200.0
University of Kashmir ,PG [3 Years Program(s)],200.0
Gauhati University ,UG [3 Years Program(s)],200.0
Tezpur University ,PG [3 Years Program(s)],200.0
Symbiosis International ,UG [3 Years Program(s)],198.37758112094394
PSG College of Technology ,PG [3 Years Program(s)],198.33333333333334
Sri Venkateswara University ,PG [3 Years Program(s)],196.66666666666666
Jamia Millia Islamia ,PG [3 Years Program(s)],196.0
Shiv Nadar University ,UG [4 Years Program(s)],194.64285714285714
Aligarh Muslim University ,PG [3 Years Program(s)],193.68029739776952
Amity University ,UG [3 Years Program(s)],193.53070175438597
Homi Bhabha National Institute ,PG [3 Years Program(s)],192.59259259259258
Thapar Institute of Engineering and Technology ,PG-Integrated,192.22222222222223
Savitribai Phule Pune University ,PG-Integrated,192.0
Guru Nanak Dev University ,UG [4 Years Program(s)],191.9512195121951
Calcutta University ,UG [3 Years Program(s)],191.86046511627907
Shanmugha Arts Science Technology & Research Academy ,UG [3 Years Program(s)],190.0
Indian Institute of Technology Madras ,UG [4 Years Program(s)],189.501312335958
SVKM`s Narsee Monjee Institute of Management Studies ,PG [3 Years Program(s)],189.47368421052633
Chandigarh University ,UG [3 Years Program(s)],187.30088495575222
Calicut University ,UG [3 Years Program(s)],187.27272727272728
University of Delhi ,PG-Integrated,186.66666666666666
Guru Nanak Dev University ,UG [3 Years Program(s)],186.27118644067798
Dr. B. R. Ambedkar National Institute of Technology ,UG [4 Years Program(s)],185.8781994704325
Indian Institute of Technology Mandi ,UG [4 Years Program(s)],184.49612403100775
Indian Institute of Technology (Indian School of Mines) ,PG [3 Years Program(s)],183.6734693877551
