2019-20,Institute
17469,S.R.M. Institute of Science and Technology 
12570,Amity University 
12453,Vellore Institute of Technology 
12010,University of Delhi 
10248,Banaras Hindu University 
9820,Lovely Professional University 
8383,Panjab University 
8073,Chandigarh University 
7996,Manipal Academy of Higher Education 
7859,Amrita Vishwa Vidyapeetham 
7610,Aligarh Muslim University 
7410,Calcutta University 
6913,Kalinga Institute of Industrial Technology 
6629,Symbiosis International 
5768,Bharath Institute of Higher Education & Research 
4818,Anna University 
4380,Koneru Lakshmaiah Education Foundation University (K L College of Engineering) 
4329,Siksha `O` Anusandhan 
4276,Guru Nanak Dev University 
4252,Indian Institute of Technology Kharagpur 
4228,Jadavpur University 
4033,Sathyabama Institute of Science and Technology 
3956,"Andhra University, Visakhapatnam "
3819,Birla Institute of Technology & Science -Pilani 
3765,Visva Bharati 
3697,Mumbai University 
3671,Banasthali Vidyapith 
3621,University of Kashmir 
3471,Pondicherry University 
3258,Delhi Technological University 
3162,Sri Venkateswara University 
3129,Osmania University 
3052,Jamia Millia Islamia 
3022,Mysore University 
2975,Thapar Institute of Engineering and Technology 
2908,Savitribai Phule Pune University 
2730,Shanmugha Arts Science Technology & Research Academy 
2664,Saveetha Institute of Medical and Technical Sciences 
2535,Gauhati University 
2399,PSG College of Technology 
2371,Indian Institute of Technology Bombay 
2364,Jamia Hamdard 
2345,Indian Institute of Technology Delhi 
2208,Sri Ramachandra Institute of Higher Education and Research 
2182,SVKM`s Narsee Monjee Institute of Management Studies 
2162,National Institute of Technology Rourkela 
2128,Kalasalingam Academy of Research and Higher Education 
2113,Jawaharlal Nehru University 
2014,Indian Institute of Technology Kanpur 
2008,Malaviya National Institute of Technology 
2005,National Institute of Technology Warangal 
1963,Indian Institute of Technology Roorkee 
1955,Indian Institute of Technology (Indian School of Mines) 
1945,National Institute of Technology Tiruchirappalli 
1930,University of Madras 
1920,Indian Institute of Technology (Banaras Hindu University) Varanasi 
1919,JSS Academy of Higher Education and Research 
1900,Indian Institute of Technology Madras 
1869,North Eastern Hill University 
1780,University of Hyderabad 
1731,Motilal Nehru National Institute of Technology 
1722,Tata Institute of Social Sciences 
1700,Indian Institute of Technology Guwahati 
1685,Alagappa University 
1578,Sardar Vallabhbhai National Institute of Technology 
1566,Visvesvaraya National Institute of Technology 
1530,National Institute of Technology Karnataka 
1513,Dr. B. R. Ambedkar National Institute of Technology 
1465,Bharathiar University 
1443,Dr. D. Y. Patil Vidyapeeth 
1367,Indian Institute of Engineering Science and Technology 
1356,Calicut University 
1355,Kerala University 
1335,Datta Meghe Institute of Medical Sciences 
1313,National Institute of Technology Silchar 
1273,National Institute of Technology Durgapur 
1252,Tezpur University 
1230,Bharathidasan University 
1215,Cochin University of Science and Technology 
1204,Guru Gobind Singh Indraprastha University 
960,Sri Sivasubramaniya Nadar College of Engineering 
828,Madurai Kamaraj University 
771,Indian Institute of Technology Mandi 
735,Indian Institute of Technology Bhubaneswar 
731,Institute of Chemical Technology 
697,King George`s Medical University 
690,Shiv Nadar University 
670,Mahatma Gandhi University 
655,Indian Institute of Technology Hyderabad 
651,Indian Institute of Science 
593,Indian Institute of Technology Patna 
584,Indian Institute of Technology Ropar 
536,Homi Bhabha National Institute 
483,Indian Institute of Technology Gandhinagar 
482,Indian Institute of Technology Indore 
325,Indian Institute of Science Education & Research Bhopal 
209,Indian Institute of Science Education & Research Kolkata 
