2017-18,Institute
11757,S.R.M. Institute of Science and Technology 
9435,Amity University 
8876,Vellore Institute of Technology 
8605,Lovely Professional University 
6220,Chandigarh University 
5712,Kalinga Institute of Industrial Technology 
5210,Manipal Academy of Higher Education 
4568,Banaras Hindu University 
4350,Amrita Vishwa Vidyapeetham 
4294,Aligarh Muslim University 
3881,Bharath Institute of Higher Education & Research 
3673,Panjab University 
3180,Koneru Lakshmaiah Education Foundation University (K L College of Engineering) 
3160,Sathyabama Institute of Science and Technology 
3080,Anna University 
2918,Birla Institute of Technology & Science -Pilani 
2903,University of Delhi 
2745,Banasthali Vidyapith 
2474,Delhi Technological University 
2422,Jadavpur University 
2412,Saveetha Institute of Medical and Technical Sciences 
2410,Symbiosis International 
2270,Shanmugha Arts Science Technology & Research Academy 
2229,Siksha `O` Anusandhan 
1835,Kalasalingam Academy of Research and Higher Education 
1790,Thapar Institute of Engineering and Technology 
1694,Visva Bharati 
1677,Guru Nanak Dev University 
1660,PSG College of Technology 
1653,Jamia Millia Islamia 
1591,Sri Ramachandra Institute of Higher Education and Research 
1517,SVKM`s Narsee Monjee Institute of Management Studies 
1402,Indian Institute of Technology Kharagpur 
1264,Calcutta University 
1129,Indian Institute of Technology Madras 
1090,Indian Institute of Technology (Banaras Hindu University) Varanasi 
1040,JSS Academy of Higher Education and Research 
1033,Jamia Hamdard 
1018,Indian Institute of Technology (Indian School of Mines) 
999,Indian Institute of Technology Bombay 
998,Sardar Vallabhbhai National Institute of Technology 
979,Motilal Nehru National Institute of Technology 
975,Indian Institute of Technology Roorkee 
909,Dr. D. Y. Patil Vidyapeeth 
906,National Institute of Technology Tiruchirappalli 
900,Sri Sivasubramaniya Nadar College of Engineering 
894,National Institute of Technology Warangal 
851,Indian Institute of Technology Delhi 
850,National Institute of Technology Rourkela 
833,National Institute of Technology Karnataka 
827,Indian Institute of Technology Kanpur 
809,Visvesvaraya National Institute of Technology 
807,Pondicherry University 
802,Datta Meghe Institute of Medical Sciences 
798,Sri Venkateswara University 
786,Dr. B. R. Ambedkar National Institute of Technology 
784,Malaviya National Institute of Technology 
779,University of Kashmir 
728,"Andhra University, Visakhapatnam "
712,National Institute of Technology Durgapur 
690,Indian Institute of Technology Guwahati 
632,National Institute of Technology Silchar 
600,Osmania University 
593,King George`s Medical University 
590,Indian Institute of Engineering Science and Technology 
574,Tezpur University 
535,Guru Gobind Singh Indraprastha University 
500,Bharathidasan University 
500,Shiv Nadar University 
488,Mumbai University 
472,Jawaharlal Nehru University 
415,Gauhati University 
360,North Eastern Hill University 
350,Indian Institute of Technology Bhubaneswar 
312,Indian Institute of Technology Hyderabad 
311,Cochin University of Science and Technology 
302,University of Hyderabad 
281,Homi Bhabha National Institute 
279,Indian Institute of Technology Ropar 
262,Alagappa University 
260,Indian Institute of Science Education & Research Bhopal 
260,Indian Institute of Technology Indore 
241,Institute of Chemical Technology 
237,Indian Institute of Technology Mandi 
225,Indian Institute of Technology Patna 
222,Indian Institute of Science Education & Research Kolkata 
180,Indian Institute of Technology Gandhinagar 
176,Indian Institute of Science 
175,Bharathiar University 
170,Savitribai Phule Pune University 
170,Tata Institute of Social Sciences 
114,Mysore University 
105,Madurai Kamaraj University 
67,Calicut University 
59,University of Madras 
30,Mahatma Gandhi University 
0,Kerala University 
