2016-17,Institute
10810,S.R.M. Institute of Science and Technology 
7316,Vellore Institute of Technology 
5820,Lovely Professional University 
4590,Amity University 
4200,Kalinga Institute of Industrial Technology 
4080,Chandigarh University 
3984,Manipal Academy of Higher Education 
3740,Koneru Lakshmaiah Education Foundation University (K L College of Engineering) 
3388,Sathyabama Institute of Science and Technology 
3050,Amrita Vishwa Vidyapeetham 
2960,Anna University 
2520,Bharath Institute of Higher Education & Research 
2490,Siksha `O` Anusandhan 
2196,Birla Institute of Technology & Science -Pilani 
2190,Shanmugha Arts Science Technology & Research Academy 
2050,Saveetha Institute of Medical and Technical Sciences 
1884,Panjab University 
1862,Delhi Technological University 
1570,Thapar Institute of Engineering and Technology 
1550,Kalasalingam Academy of Research and Higher Education 
1490,Symbiosis International 
1480,PSG College of Technology 
1341,Indian Institute of Technology Kharagpur 
1260,Banasthali Vidyapith 
1252,Jadavpur University 
1090,Indian Institute of Technology (Banaras Hindu University) Varanasi 
1062,Guru Nanak Dev University 
1057,Aligarh Muslim University 
1002,Indian Institute of Technology Bombay 
998,Sardar Vallabhbhai National Institute of Technology 
975,Sri Ramachandra Institute of Higher Education and Research 
970,Indian Institute of Technology Roorkee 
912,Indian Institute of Technology (Indian School of Mines) 
912,Motilal Nehru National Institute of Technology 
890,National Institute of Technology Rourkela 
884,Indian Institute of Technology Madras 
851,Indian Institute of Technology Delhi 
827,Indian Institute of Technology Kanpur 
814,National Institute of Technology Tiruchirappalli 
810,SVKM`s Narsee Monjee Institute of Management Studies 
807,Visvesvaraya National Institute of Technology 
800,National Institute of Technology Warangal 
786,Dr. B. R. Ambedkar National Institute of Technology 
784,Malaviya National Institute of Technology 
780,Sri Sivasubramaniya Nadar College of Engineering 
768,National Institute of Technology Durgapur 
740,National Institute of Technology Karnataka 
680,Jamia Hamdard 
670,Dr. D. Y. Patil Vidyapeeth 
660,Indian Institute of Technology Guwahati 
638,Indian Institute of Engineering Science and Technology 
637,Banaras Hindu University 
632,National Institute of Technology Silchar 
620,Jamia Millia Islamia 
521,"Andhra University, Visakhapatnam "
510,JSS Academy of Higher Education and Research 
510,Datta Meghe Institute of Medical Sciences 
504,Shiv Nadar University 
498,Sri Venkateswara University 
480,Osmania University 
479,Tezpur University 
475,Guru Gobind Singh Indraprastha University 
409,University of Kashmir 
393,Calcutta University 
360,Bharathidasan University 
340,North Eastern Hill University 
320,King George`s Medical University 
278,Visva Bharati 
275,Gauhati University 
260,Indian Institute of Technology Bhubaneswar 
260,Indian Institute of Technology Indore 
251,Indian Institute of Technology Mandi 
251,Cochin University of Science and Technology 
241,Institute of Chemical Technology 
240,Indian Institute of Technology Hyderabad 
234,Mumbai University 
223,University of Hyderabad 
202,Indian Institute of Science Education & Research Kolkata 
202,Pondicherry University 
200,Indian Institute of Technology Patna 
200,Indian Institute of Science Education & Research Bhopal 
200,Homi Bhabha National Institute 
180,Indian Institute of Technology Gandhinagar 
155,Indian Institute of Technology Ropar 
120,Indian Institute of Science 
60,Madurai Kamaraj University 
50,Savitribai Phule Pune University 
40,University of Delhi 
38,Mysore University 
30,Mahatma Gandhi University 
25,Alagappa University 
0,Calicut University 
0,Tata Institute of Social Sciences 
0,Kerala University 
0,Bharathiar University 
0,Jawaharlal Nehru University 
0,University of Madras 
