2015-16,Institute
1520,Amity University 
1080,Vellore Institute of Technology 
890,Manipal Academy of Higher Education 
820,S.R.M. Institute of Science and Technology 
720,Symbiosis International 
685,Indian Institute of Technology Kharagpur 
650,Amrita Vishwa Vidyapeetham 
563,Panjab University 
490,Kalinga Institute of Industrial Technology 
482,Aligarh Muslim University 
470,Lovely Professional University 
422,Guru Nanak Dev University 
418,Indian Institute of Technology Madras 
400,Bharath Institute of Higher Education & Research 
386,Sri Ramachandra Institute of Higher Education and Research 
380,Dr. D. Y. Patil Vidyapeeth 
380,Saveetha Institute of Medical and Technical Sciences 
360,Bharathidasan University 
360,JSS Academy of Higher Education and Research 
360,SVKM`s Narsee Monjee Institute of Management Studies 
360,Datta Meghe Institute of Medical Sciences 
340,PSG College of Technology 
320,Chandigarh University 
320,King George`s Medical University 
285,Shanmugha Arts Science Technology & Research Academy 
275,Indian Institute of Technology (Banaras Hindu University) Varanasi 
265,National Institute of Technology Rourkela 
250,Siksha `O` Anusandhan 
243,Pondicherry University 
234,Mumbai University 
223,Indian Institute of Technology Bombay 
220,Banasthali Vidyapith 
220,Anna University 
220,Sathyabama Institute of Science and Technology 
210,Jamia Millia Islamia 
208,University of Hyderabad 
200,Homi Bhabha National Institute 
200,Indian Institute of Science Education & Research Kolkata 
200,Indian Institute of Science Education & Research Bhopal 
193,University of Kashmir 
180,Sardar Vallabhbhai National Institute of Technology 
180,Guru Gobind Singh Indraprastha University 
160,Calcutta University 
158,Jadavpur University 
150,Jamia Hamdard 
137,Tezpur University 
130,Indian Institute of Technology Roorkee 
121,Madurai Kamaraj University 
115,Gauhati University 
107,Indian Institute of Technology (Indian School of Mines) 
102,Indian Institute of Technology Delhi 
100,North Eastern Hill University 
90,Thapar Institute of Engineering and Technology 
86,Indian Institute of Technology Mandi 
85,Indian Institute of Engineering Science and Technology 
80,Cochin University of Science and Technology 
68,Malaviya National Institute of Technology 
67,Visvesvaraya National Institute of Technology 
60,"Andhra University, Visakhapatnam "
60,Osmania University 
60,Banaras Hindu University 
46,National Institute of Technology Tiruchirappalli 
40,Sri Venkateswara University 
40,Kalasalingam Academy of Research and Higher Education 
38,Mysore University 
30,Mahatma Gandhi University 
30,Savitribai Phule Pune University 
21,Visva Bharati 
10,Indian Institute of Technology Ropar 
0,Bharathiar University 
0,University of Delhi 
0,Shiv Nadar University 
0,University of Madras 
0,Calicut University 
0,Tata Institute of Social Sciences 
0,Delhi Technological University 
0,Sri Sivasubramaniya Nadar College of Engineering 
0,Dr. B. R. Ambedkar National Institute of Technology 
0,Indian Institute of Science 
0,Birla Institute of Technology & Science -Pilani 
0,Indian Institute of Technology Guwahati 
0,Indian Institute of Technology Bhubaneswar 
0,Indian Institute of Technology Gandhinagar 
0,Koneru Lakshmaiah Education Foundation University (K L College of Engineering) 
0,Indian Institute of Technology Hyderabad 
0,Indian Institute of Technology Indore 
0,Indian Institute of Technology Kanpur 
0,Indian Institute of Technology Patna 
0,Institute of Chemical Technology 
0,Jawaharlal Nehru University 
0,National Institute of Technology Warangal 
0,National Institute of Technology Silchar 
0,National Institute of Technology Karnataka 
0,National Institute of Technology Durgapur 
0,Kerala University 
0,Motilal Nehru National Institute of Technology 
0,Alagappa University 
