Institute,2019_Ratio
Osmania University ,24296.27465303141
Shiv Nadar University ,15135.490978676873
Indian Institute of Technology Madras ,13880.500150647786
SVKM`s Narsee Monjee Institute of Management Studies ,12324.068509615385
Symbiosis International ,12124.643139336045
Tata Institute of Social Sciences ,11672.744024939384
Indian Institute of Technology Kharagpur ,11619.631473438021
Indian Institute of Technology Hyderabad ,11455.307262569833
Guru Nanak Dev University ,10731.46167146974
Indian Institute of Technology Delhi ,10123.042298618133
Indian Institute of Technology Kanpur ,9583.102237012386
"Andhra University, Visakhapatnam ",8601.648438380877
Indian Institute of Technology Bombay ,7385.651346848098
Mahatma Gandhi University ,6907.43961352657
National Institute of Technology Tiruchirappalli ,6312.902345251826
Sri Sivasubramaniya Nadar College of Engineering ,4977.948582412302
Jamia Millia Islamia ,4967.78376519147
Manipal Academy of Higher Education ,4163.325161968131
Savitribai Phule Pune University ,3703.7327688066166
Datta Meghe Institute of Medical Sciences ,3607.6662908680946
Shanmugha Arts Science Technology & Research Academy ,3542.6222684703434
Indian Institute of Technology (Indian School of Mines) ,3530.96375153968
JSS Academy of Higher Education and Research ,3470.155922330097
Amity University ,3427.976488671297
Jamia Hamdard ,3091.3062230437463
Saveetha Institute of Medical and Technical Sciences ,2811.8723499218922
Birla Institute of Technology & Science -Pilani ,2764.8532177610596
National Institute of Technology Karnataka ,2761.2542662116043
Indian Institute of Science ,1988.7914213624895
Amrita Vishwa Vidyapeetham ,1931.2819912609239
University of Delhi ,1622.8131888748183
Bharath Institute of Higher Education & Research ,1572.0362622036262
Aligarh Muslim University ,1172.0483502123489
Dr. D. Y. Patil Vidyapeeth ,1128.0144241604687
Sri Ramachandra Institute of Higher Education and Research ,1026.2990316756934
Kerala University ,942.350332594235
University of Madras ,882.0931046552328
Alagappa University ,711.3895216400911
Delhi Technological University ,664.3046944198405
University of Kashmir ,640.0787789266371
Sathyabama Institute of Science and Technology ,352.3587652882935
University of Hyderabad ,328.0644199224575
National Institute of Technology Warangal ,219.56087824351297
Calcutta University ,213.0808720581372
S.R.M. Institute of Science and Technology ,206.07830476637707
Tezpur University ,192.2496236073472
Kalinga Institute of Industrial Technology ,144.4611021069692
Siksha `O` Anusandhan ,139.83569306065374
Mysore University ,127.79661016949153
Bharathiar University ,103.51481736733287
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,85.70322398986343
Gauhati University ,82.59795270031769
Banasthali Vidyapith ,80.52492091989399
Indian Institute of Technology Roorkee ,60.482541899441344
Banaras Hindu University ,48.58531008859674
Panjab University ,32.5
Sri Venkateswara University ,26.905829596412556
Jawaharlal Nehru University ,12.653890160183066
Institute of Chemical Technology ,0.0
Indian Institute of Technology Bhubaneswar ,0.0
National Institute of Technology Rourkela ,0.0
Madurai Kamaraj University ,0.0
Pondicherry University ,0.0
Indian Institute of Science Education & Research Pune ,0.0
Homi Bhabha National Institute ,0.0
Indian Institute of Engineering Science and Technology ,0.0
North Eastern Hill University ,0.0
"Indian Institute of Science Education & Research, Mohali ",0.0
Cochin University of Science and Technology ,0.0
PSG College of Technology ,0.0
Indian Institute of Technology (Banaras Hindu University) Varanasi ,0.0
Indian Institute of Technology Guwahati ,0.0
Indian Institute of Science Education & Research Kolkata ,0.0
Anna University ,0.0
Indian Institute of Technology Patna ,0.0
Indian Institute of Science Education & Research Bhopal ,0.0
Bharathidasan University ,0.0
Indian Institute of Technology Mandi ,0.0
Jadavpur University ,0.0
Visva Bharati ,0.0
Calicut University ,0.0
Indian Institute of Technology Gandhinagar ,0.0
King George`s Medical University ,0.0
Vellore Institute of Technology ,0.0
National Institute of Technology Durgapur ,0.0
Thapar Institute of Engineering and Technology ,0.0
