Insititute
JSS Academy of Higher Education and Research 
National Institute of Technology Warangal 
Manipal Academy of Higher Education 
SVKM`s Narsee Monjee Institute of Management Studies 
Datta Meghe Institute of Medical Sciences 
Alagappa University 
Indian Institute of Technology Roorkee 
Anna University 
Indian Institute of Science 
PSG College of Technology 
Indian Institute of Technology Mandi 
Indian Institute of Technology Gandhinagar 
Banaras Hindu University 
Visva Bharati 
S.R.M. Institute of Science and Technology 
Birla Institute of Technology & Science -Pilani 
Dr. D. Y. Patil Vidyapeeth 
King George`s Medical University 
Indian Institute of Science Education & Research Bhopal 
Madurai Kamaraj University 
Jamia Millia Islamia 
National Institute of Technology Durgapur 
Amrita Vishwa Vidyapeetham 
Indian Institute of Science Education & Research Kolkata 
National Institute of Technology Karnataka 
Sri Sivasubramaniya Nadar College of Engineering 
Guru Nanak Dev University 
Indian Institute of Technology Patna 
Osmania University 
Bharath Institute of Higher Education & Research 
Indian Institute of Technology Guwahati 
Sathyabama Institute of Science and Technology 
"Andhra University, Visakhapatnam "
Indian Institute of Technology (Banaras Hindu University) Varanasi 
University of Delhi 
Indian Institute of Technology Kanpur 
Symbiosis International 
"Indian Institute of Science Education & Research, Mohali "
Kerala University 
Delhi Technological University 
Bharathiar University 
Indian Institute of Technology Madras 
Vellore Institute of Technology 
Indian Institute of Science Education & Research Pune 
Saveetha Institute of Medical and Technical Sciences 
University of Kashmir 
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) 
Indian Institute of Technology (Indian School of Mines) 
Calicut University 
Savitribai Phule Pune University 
Amity University 
Indian Institute of Technology Bhubaneswar 
Mahatma Gandhi University 
Institute of Chemical Technology 
National Institute of Technology Tiruchirappalli 
Tata Institute of Social Sciences 
University of Madras 
Gauhati University 
Aligarh Muslim University 
Indian Institute of Engineering Science and Technology 
University of Hyderabad 
Indian Institute of Technology Bombay 
Homi Bhabha National Institute 
Indian Institute of Technology Kharagpur 
Indian Institute of Technology Delhi 
Sri Ramachandra Institute of Higher Education and Research 
Shiv Nadar University 
Pondicherry University 
Sri Venkateswara University 
Cochin University of Science and Technology 
Siksha `O` Anusandhan 
National Institute of Technology Rourkela 
Shanmugha Arts Science Technology & Research Academy 
Mysore University 
Jadavpur University 
Thapar Institute of Engineering and Technology 
Tezpur University 
Jawaharlal Nehru University 
North Eastern Hill University 
Indian Institute of Technology Hyderabad 
Calcutta University 
Panjab University 
Jamia Hamdard 
Kalinga Institute of Industrial Technology 
Bharathidasan University 
Banasthali Vidyapith 
