Insititute
Indian Institute of Technology Indore 
Kalasalingam Academy of Research and Higher Education 
Sardar Vallabhbhai National Institute of Technology 
Guru Gobind Singh Indraprastha University 
Indian Institute of Technology Ropar 
National Institute of Technology Silchar 
Dr. B. R. Ambedkar National Institute of Technology 
Chandigarh University 
Gujarat University 
Visvesvaraya National Institute of Technology 
Malaviya National Institute of Technology 
Motilal Nehru National Institute of Technology 
Lovely Professional University 
Mumbai University 
