Institute,Programs,No. of Male Students,No. of Female Students,Total Students,Within State(Including male& female),Outside State(Including male& female),Outside Country(Including male& female),EconomicallyBackward(Including male & female),SociallyChallenged (SC+ST+OBC Including male & female),No. of studentsreceiving full tuition fee reimbursement from the State and Central Government,No. of students receiving full tuition fee reimbursement from Institution Funds,No. of students receiving full tuition fee reimbursement from the Private Bodies,No. of students who are not receiving full tuition fee reimbursement
Institute of Chemical Technology ,"UG [4 Years
Program(s)]",676,296,972,832,139,1,39,266,156,0,40,109
Institute of Chemical Technology ,"PG [2 Year
Program(s)]",352,284,636,423,213,0,4,279,102,0,4,177
Institute of Chemical Technology ,PG-Integrated,184,61,245,146,99,0,3,73,3,3,2,68
Jamia Millia Islamia ,"UG [3 Years
Program(s)]",1904,1193,3097,1144,1889,64,2383,304,2019,378,253,37
Jamia Millia Islamia ,"UG [4 Years
Program(s)]",1523,371,1894,683,1179,32,1396,215,980,352,168,111
Jamia Millia Islamia ,"UG [5 Years
Program(s)]",470,450,920,349,562,9,671,91,484,112,84,82
Jamia Millia Islamia ,"PG [2 Year
Program(s)]",1280,1284,2564,847,1568,149,1871,242,946,492,498,177
Jamia Millia Islamia ,"PG [3 Year
Program(s)]",115,33,148,52,91,5,115,19,58,24,31,21
Kalasalingam Academy of Research and Higher Education ,"UG [3 Years
Program(s)]",759,627,1386,581,799,6,145,1171,3,501,396,416
Kalasalingam Academy of Research and Higher Education ,"UG [4 Years
Program(s)]",1838,2759,4597,1616,2971,10,702,3096,141,1538,900,1219
Kalasalingam Academy of Research and Higher Education ,"UG [5 Years
Program(s)]",91,89,180,86,94,0,26,128,30,38,4,82
Kalasalingam Academy of Research and Higher Education ,"PG [2 Year
Program(s)]",121,181,302,126,155,21,10,127,1,72,55,9
Sri Venkateswara University ,"UG [3 Years
Program(s)]",240,120,360,342,18,0,44,316,216,0,0,144
Sri Venkateswara University ,"UG [4 Years
Program(s)]",1061,752,1813,1791,13,9,550,1241,1129,0,25,637
Sri Venkateswara University ,"UG [5 Years
Program(s)]",84,43,127,112,15,0,26,101,0,0,0,127
Sri Venkateswara University ,"PG [2 Year
Program(s)]",2350,1961,4311,3880,431,0,980,3331,3085,0,0,1226
Sri Venkateswara University ,"PG [3 Year
Program(s)]",228,128,356,326,30,0,108,248,216,0,0,140
Indian Institute of Technology Guwahati ,"UG [4 Years
Program(s)]",2560,366,2926,97,2829,0,617,1487,0,915,0,1189
Indian Institute of Technology Guwahati ,"PG [2 Year
Program(s)]",1130,283,1413,159,1244,10,0,682,0,289,0,393
Osmania University ,"UG [3 Years
Program(s)]",126,57,183,181,2,0,22,125,145,0,2,0
Osmania University ,"UG [4 Years
Program(s)]",1049,708,1757,1742,5,10,200,1036,1231,0,5,0
Osmania University ,"UG [5 Years
Program(s)]",185,117,302,302,0,0,20,176,194,0,2,0
Osmania University ,"PG [2 Year
Program(s)]",2829,2287,5116,5078,18,20,1176,3248,4414,0,10,0
Osmania University ,"PG [3 Year
Program(s)]",59,58,117,117,0,0,13,74,87,0,0,0
Indian Institute of Science Education & Research Kolkata ,"UG [5 Years
Program(s)]",711,223,934,337,596,1,261,410,224,0,0,447
Indian Institute of Science Education & Research Kolkata ,"PG [2 Year
Program(s)]",1,2,3,1,2,0,2,0,0,0,0,2
Anna University ,"UG [4 Years
Program(s)]",6338,4220,10558,10268,116,174,1780,7177,3415,0,591,4951
Anna University ,"UG [5 Years
Program(s)]",176,373,549,543,6,0,40,480,98,0,0,422
Anna University ,"PG [2 Year
Program(s)]",1633,1666,3299,3174,100,25,353,2713,492,0,10,2564
Anna University ,"PG [3 Year
Program(s)]",195,96,291,255,35,1,39,217,40,0,0,216
Anna University ,PG-Integrated,220,232,452,449,3,0,23,417,97,0,0,343
Indian Institute of Technology Roorkee ,"UG [4 Years
Program(s)]",3041,414,3455,85,3370,0,40,1727,96,1411,50,210
Indian Institute of Technology Roorkee ,"UG [5 Years
Program(s)]",114,33,147,9,138,0,1,75,0,51,0,25
Indian Institute of Technology Roorkee ,"PG [2 Year
Program(s)]",1193,277,1470,99,1217,154,20,642,158,337,0,167
Indian Institute of Technology Roorkee ,PG-Integrated,482,75,557,25,532,0,4,281,65,193,7,20
Jamia Hamdard ,"UG [3 Years
Program(s)]",87,197,284,166,115,3,41,57,0,0,0,98
Jamia Hamdard ,"UG [4 Years
Program(s)]",1804,1264,3068,1462,1456,150,723,739,311,21,32,1098
Jamia Hamdard ,"UG [5 Years
Program(s)]",473,423,896,334,561,1,137,202,25,0,0,314
Jamia Hamdard ,"PG [2 Year
Program(s)]",476,712,1188,445,688,55,184,180,134,10,9,211
Jamia Hamdard ,"PG [3 Year
Program(s)]",89,65,154,63,86,5,11,18,14,3,0,12
Jamia Hamdard ,PG-Integrated,37,19,56,35,20,1,0,14,0,1,0,13
University of Delhi ,"UG [3 Years
Program(s)]",581,516,1097,395,685,17,22,397,6,14,0,399
University of Delhi ,"UG [4 Years
Program(s)]",146,28,174,60,110,4,2,84,3,5,0,78
University of Delhi ,"PG [1 Year
Program(s)]",52,62,114,60,54,0,4,51,4,0,0,51
University of Delhi ,"PG [2 Year
Program(s)]",5717,7369,13086,5909,6972,205,263,5377,99,139,0,5402
University of Delhi ,"PG [3 Year
Program(s)]",4814,1986,6800,1947,4831,22,122,3163,105,220,0,2960
University of Delhi ,PG-Integrated,262,82,344,190,153,1,6,189,2,5,0,188
Sardar Vallabhbhai National Institute of Technology ,"UG [4 Years
Program(s)]",2662,562,3224,1499,1504,221,444,1499,744,333,0,866
Sardar Vallabhbhai National Institute of Technology ,"PG [2 Year
Program(s)]",653,97,750,216,532,2,0,345,150,0,0,195
Sardar Vallabhbhai National Institute of Technology ,PG-Integrated,552,125,677,223,454,0,0,323,77,0,0,246
Indian Institute of Technology Patna ,"UG [4 Years
Program(s)]",881,111,992,226,766,0,149,478,0,487,0,140
Indian Institute of Technology Patna ,"PG [2 Year
Program(s)]",232,52,284,114,170,0,72,141,0,57,0,156
Amity University ,"UG [3 Years
Program(s)]",6900,6485,13385,5348,7976,61,946,1873,0,168,37,2614
Amity University ,"UG [4 Years
Program(s)]",4791,6975,11766,5012,6733,21,674,1904,0,211,1,2366
Amity University ,"UG [5 Years
Program(s)]",2506,1992,4498,1872,2624,2,272,507,0,75,0,704
Amity University ,"PG [1 Year
Program(s)]",163,211,374,119,253,2,32,80,0,1,0,111
Amity University ,"PG [2 Year
Program(s)]",2466,3461,5927,1792,4103,32,318,998,0,21,15,1280
Amity University ,"PG [3 Year
Program(s)]",79,19,98,37,61,0,13,14,0,0,0,27
Amity University ,PG-Integrated,410,462,872,348,521,3,52,103,0,15,0,140
Siksha `O` Anusandhan ,"UG [3 Years
Program(s)]",118,131,249,95,145,9,45,74,9,4,0,106
Siksha `O` Anusandhan ,"UG [4 Years
Program(s)]",4202,4857,9059,3895,5056,108,2547,2973,100,481,0,4939
Siksha `O` Anusandhan ,"UG [5 Years
Program(s)]",628,1046,1674,728,944,2,342,672,2,38,0,974
Siksha `O` Anusandhan ,"PG [1 Year
Program(s)]",10,14,24,13,11,0,3,8,0,3,0,8
Siksha `O` Anusandhan ,"PG [2 Year
Program(s)]",602,837,1439,603,782,54,304,572,52,53,0,771
Siksha `O` Anusandhan ,"PG [3 Year
Program(s)]",165,274,439,191,248,0,96,186,0,9,0,273
Siksha `O` Anusandhan ,PG-Integrated,10,18,28,12,16,0,7,11,0,2,0,16
Guru Gobind Singh Indraprastha University ,"UG [4 Years
Program(s)]",941,284,1225,951,197,77,76,303,36,3,0,340
Guru Gobind Singh Indraprastha University ,"UG [5 Years
Program(s)]",467,430,897,719,167,11,22,358,14,0,0,366
Guru Gobind Singh Indraprastha University ,"PG [1 Year
Program(s)]",23,34,57,51,5,1,0,10,0,0,0,10
Guru Gobind Singh Indraprastha University ,"PG [2 Year
Program(s)]",322,627,949,759,176,14,8,119,0,0,0,127
Guru Gobind Singh Indraprastha University ,"PG [3 Year
Program(s)]",111,42,153,128,24,1,7,30,0,1,0,36
Indian Institute of Technology Madras ,"UG [4 Years
Program(s)]",1874,332,2206,338,1848,20,215,1137,59,832,155,306
Indian Institute of Technology Madras ,"UG [5 Years
Program(s)]",1459,270,1729,313,1402,14,176,862,44,697,92,205
Indian Institute of Technology Madras ,"PG [2 Year
Program(s)]",1389,321,1710,282,1423,5,361,707,0,761,131,176
Indian Institute of Technology Madras ,"PG [3 Year
Program(s)]",626,123,749,175,574,0,275,232,6,374,96,31
Indian Institute of Technology Madras ,PG-Integrated,86,129,215,45,170,0,12,116,0,56,0,72
Gauhati University ,"UG [3 Years
Program(s)]",143,217,360,303,57,0,185,118,121,35,5,142
Gauhati University ,"UG [4 Years
Program(s)]",342,198,540,486,53,1,108,124,115,55,5,57
Gauhati University ,"UG [5 Years
Program(s)]",118,182,300,243,57,0,97,69,91,20,0,55
Gauhati University ,"PG [1 Year
Program(s)]",40,120,160,156,4,0,36,69,45,21,0,39
Gauhati University ,"PG [2 Year
Program(s)]",1192,2788,3980,3224,745,11,1590,1429,1343,1568,11,97
Gauhati University ,"PG [3 Year
Program(s)]",19,11,30,24,6,0,3,11,0,3,5,6
Gauhati University ,PG-Integrated,119,251,370,317,53,0,118,136,117,41,0,96
Bharathiar University ,"UG [3 Years
Program(s)]",212,175,387,372,15,0,158,224,102,6,3,271
Bharathiar University ,"PG [2 Year
Program(s)]",998,1539,2537,2185,336,16,1363,1174,1009,112,14,1402
Bharathiar University ,"PG [3 Year
Program(s)]",25,7,32,30,2,0,26,6,11,4,1,16
Calcutta University ,"UG [3 Years
Program(s)]",26,1229,1255,690,562,3,678,577,758,326,4,167
Calcutta University ,"UG [4 Years
Program(s)]",750,258,1008,901,103,4,543,465,596,262,15,135
Calcutta University ,"UG [5 Years
Program(s)]",319,289,608,547,58,3,413,195,82,158,14,354
Calcutta University ,"PG [1 Year
Program(s)]",85,138,223,189,33,1,122,101,91,58,4,70
Calcutta University ,"PG [2 Year
Program(s)]",4297,7487,11784,10176,1518,90,7481,4303,5018,3063,17,3686
Calcutta University ,"PG [3 Year
Program(s)]",86,77,163,138,23,2,89,74,67,42,3,51
Calcutta University ,PG-Integrated,72,111,183,165,18,0,131,52,78,47,1,57
Indian Institute of Science Education & Research Bhopal ,"UG [4 Years
Program(s)]",159,46,205,20,185,0,5,112,9,52,0,56
Indian Institute of Science Education & Research Bhopal ,"UG [5 Years
Program(s)]",677,312,989,60,928,1,23,513,21,213,0,302
Malaviya National Institute of Technology ,"UG [4 Years
Program(s)]",2351,499,2850,1372,1450,28,611,1437,44,1273,3,728
Malaviya National Institute of Technology ,"UG [5 Years
Program(s)]",162,134,296,140,155,1,25,158,0,94,0,89
Malaviya National Institute of Technology ,"PG [2 Year
Program(s)]",759,358,1117,532,583,2,131,597,728,0,0,0
University of Madras ,"PG [2 Year
Program(s)]",1250,1701,2951,2361,555,35,421,2183,787,26,115,1676
University of Madras ,"PG [3 Year
Program(s)]",62,92,154,142,10,2,11,129,82,4,13,41
Symbiosis International ,"UG [3 Years
Program(s)]",2240,1806,4046,1034,2606,406,226,775,19,957,21,4
Symbiosis International ,"UG [4 Years
Program(s)]",1866,1445,3311,1490,1643,178,285,189,19,418,27,10
Symbiosis International ,"UG [5 Years
Program(s)]",1851,2332,4183,490,3549,144,399,431,7,528,8,287
Symbiosis International ,"PG [1 Year
Program(s)]",39,66,105,35,68,2,18,20,0,21,0,17
Symbiosis International ,"PG [2 Year
Program(s)]",3195,2648,5843,1456,4118,269,714,671,200,506,17,662
Kerala University ,"PG [1 Year
Program(s)]",74,257,331,280,42,9,135,172,167,136,0,4
Kerala University ,"PG [2 Year
Program(s)]",416,1376,1792,1727,42,23,396,705,912,102,0,87
Alagappa University ,"UG [3 Years
Program(s)]",319,291,610,608,2,0,294,305,80,14,0,505
Alagappa University ,"UG [4 Years
Program(s)]",25,40,65,65,0,0,30,32,10,2,0,50
Alagappa University ,"PG [1 Year
Program(s)]",20,104,124,123,1,0,58,61,35,0,8,76
Alagappa University ,"PG [2 Year
Program(s)]",546,1641,2187,2145,40,2,1041,1083,351,209,59,1505
Alagappa University ,"PG [3 Year
Program(s)]",26,167,193,193,0,0,91,94,33,4,0,148
Alagappa University ,PG-Integrated,49,77,126,126,0,0,60,62,11,2,0,109
JSS Academy of Higher Education and Research ,"UG [3 Years
Program(s)]",599,794,1393,554,787,52,227,618,197,95,102,451
JSS Academy of Higher Education and Research ,"UG [4 Years
Program(s)]",474,363,837,221,585,31,246,430,44,85,71,476
JSS Academy of Higher Education and Research ,"UG [5 Years
Program(s)]",583,867,1450,346,1087,17,33,362,81,95,53,166
JSS Academy of Higher Education and Research ,"PG [2 Year
Program(s)]",431,518,949,553,386,10,151,365,74,65,149,228
JSS Academy of Higher Education and Research ,"PG [3 Year
Program(s)]",262,378,640,285,337,18,44,177,65,50,34,72
JSS Academy of Higher Education and Research ,"PG [6 Year
Program(s)]",140,220,360,95,245,20,161,120,5,41,107,128
Bharathidasan University ,"UG [3 Years
Program(s)]",191,41,232,231,1,0,8,224,187,0,0,45
Bharathidasan University ,"PG [2 Year
Program(s)]",430,699,1129,1035,94,0,20,1109,206,0,0,923
Bharathidasan University ,"PG [3 Year
Program(s)]",31,53,84,84,0,0,0,84,27,0,0,57
Bharathidasan University ,PG-Integrated,314,416,730,713,17,0,16,714,149,44,4,533
Bharathidasan University ,"PG [6 Year
Program(s)]",261,209,470,460,8,2,12,458,106,0,0,364
Indian Institute of Technology (Banaras Hindu University) Varanasi ,"UG [4 Years
Program(s)]",2999,372,3371,859,2512,0,707,1517,461,1613,121,29
Indian Institute of Technology (Banaras Hindu University) Varanasi ,"UG [5 Years
Program(s)]",1159,156,1315,337,978,0,289,592,93,785,3,0
Indian Institute of Technology (Banaras Hindu University) Varanasi ,"PG [2 Year
Program(s)]",717,143,860,318,540,2,387,353,0,740,0,0
Manipal Academy of Higher Education ,"UG [3 Years
Program(s)]",1294,954,2248,805,1407,36,65,113,0,73,0,105
Manipal Academy of Higher Education ,"UG [4 Years
Program(s)]",7805,3840,11645,3050,8262,333,862,359,31,955,11,224
Manipal Academy of Higher Education ,"UG [5 Years
Program(s)]",1726,2521,4247,752,3379,116,68,272,48,185,0,107
Manipal Academy of Higher Education ,"PG [1 Year
Program(s)]",12,15,27,14,13,0,6,1,0,0,0,7
Manipal Academy of Higher Education ,"PG [2 Year
Program(s)]",1889,2245,4134,2248,1869,17,157,168,1,137,0,187
Manipal Academy of Higher Education ,"PG [3 Year
Program(s)]",426,539,965,212,747,6,10,38,6,6,0,36
Manipal Academy of Higher Education ,"PG [6 Year
Program(s)]",56,121,177,52,103,22,7,10,0,13,0,4
Indian Institute of Technology Mandi ,"UG [4 Years
Program(s)]",620,114,734,12,722,0,69,369,176,101,0,161
Indian Institute of Technology Mandi ,"UG [5 Years
Program(s)]",16,3,19,0,19,0,0,8,4,3,0,1
Indian Institute of Technology Mandi ,"PG [2 Year
Program(s)]",368,109,477,31,445,1,25,202,74,27,0,126
Indian Institute of Technology Mandi ,"PG [3 Year
Program(s)]",53,13,66,10,53,3,0,12,1,0,0,11
Indian Institute of Technology Mandi ,PG-Integrated,13,8,21,4,17,0,0,4,0,0,0,4
Indian Institute of Technology Mandi ,"PG [6 Year
Program(s)]",286,131,417,71,335,11,0,104,28,0,0,76
Indian Institute of Technology Kanpur ,"UG [4 Years
Program(s)]",3100,407,3507,883,2622,2,398,1732,548,1541,0,41
Indian Institute of Technology Kanpur ,"PG [2 Year
Program(s)]",1642,265,1907,455,1444,8,582,746,67,1151,0,110
Chandigarh University ,"UG [3 Years
Program(s)]",3322,3171,6493,493,5312,688,976,632,553,737,4,314
Chandigarh University ,"UG [4 Years
Program(s)]",7455,6412,13867,1473,12005,389,2477,2412,2164,2628,8,89
Chandigarh University ,"UG [5 Years
Program(s)]",1341,945,2286,364,1844,78,321,235,206,237,0,113
Chandigarh University ,"PG [1 Year
Program(s)]",26,24,50,17,32,1,7,3,1,2,0,7
Chandigarh University ,"PG [2 Year
Program(s)]",1408,1463,2871,375,2385,111,425,433,403,411,3,41
Chandigarh University ,"PG [6 Year
Program(s)]",12,14,26,10,16,0,4,4,2,4,0,2
National Institute of Technology Silchar ,"UG [4 Years
Program(s)]",2323,375,2698,1342,1317,39,317,1355,0,952,0,720
National Institute of Technology Silchar ,"PG [2 Year
Program(s)]",431,140,571,183,385,3,4,193,0,78,0,119
"Andhra University, Visakhapatnam ","UG [3 Years
Program(s)]",181,99,280,280,0,0,78,140,97,0,0,121
"Andhra University, Visakhapatnam ","UG [4 Years
Program(s)]",1195,976,2171,1972,111,88,287,1086,887,10,74,402
"Andhra University, Visakhapatnam ","UG [5 Years
Program(s)]",203,187,390,386,4,0,78,263,127,0,4,210
"Andhra University, Visakhapatnam ","PG [2 Year
Program(s)]",3073,2951,6024,5746,199,79,1248,3009,3068,10,9,1170
"Andhra University, Visakhapatnam ","PG [3 Year
Program(s)]",12,18,30,30,0,0,4,26,23,0,0,7
"Andhra University, Visakhapatnam ","PG [6 Year
Program(s)]",51,102,153,151,0,2,47,68,87,0,0,28
Delhi Technological University ,"UG [3 Years
Program(s)]",396,259,655,328,327,0,20,170,40,20,10,120
Delhi Technological University ,"UG [4 Years
Program(s)]",6897,1358,8255,2650,5062,543,108,3732,833,495,47,2465
Delhi Technological University ,"PG [2 Year
Program(s)]",645,297,942,127,767,48,38,206,102,50,1,91
Tezpur University ,"UG [3 Years
Program(s)]",7,0,7,7,0,0,2,5,6,0,0,1
Tezpur University ,"UG [4 Years
Program(s)]",1072,259,1331,974,353,4,213,584,175,6,26,590
Tezpur University ,"PG [1 Year
Program(s)]",5,21,26,26,0,0,22,0,1,0,0,21
Tezpur University ,"PG [2 Year
Program(s)]",565,849,1414,1238,162,14,745,633,225,14,46,1093
Tezpur University ,"PG [3 Year
Program(s)]",106,29,135,98,37,0,41,25,35,3,3,25
Tezpur University ,PG-Integrated,280,282,562,531,31,0,135,242,51,0,14,312
Visva Bharati ,"UG [3 Years
Program(s)]",1474,1700,3174,2976,169,29,15,1395,120,210,7,1073
Visva Bharati ,"UG [4 Years
Program(s)]",557,462,1019,892,115,12,5,463,27,63,4,374
Visva Bharati ,"PG [1 Year
Program(s)]",22,19,41,35,0,6,0,18,0,0,0,18
Visva Bharati ,"PG [2 Year
Program(s)]",1461,1539,3000,2577,394,29,6,1252,256,147,4,851
Visva Bharati ,PG-Integrated,34,30,64,46,18,0,0,17,0,0,0,17
Savitribai Phule Pune University ,"UG [3 Years
Program(s)]",104,101,205,176,12,17,21,74,95,0,0,0
Savitribai Phule Pune University ,"PG [1 Year
Program(s)]",54,72,126,114,10,2,23,56,79,0,0,0
Savitribai Phule Pune University ,"PG [2 Year
Program(s)]",2161,1611,3772,3222,364,186,688,1532,2220,0,0,0
Savitribai Phule Pune University ,"PG [3 Year
Program(s)]",103,75,178,146,25,7,35,71,106,0,0,0
Savitribai Phule Pune University ,PG-Integrated,48,98,146,131,8,7,22,54,76,0,0,0
Calicut University ,"UG [3 Years
Program(s)]",75,83,158,156,2,0,29,124,133,0,0,20
Calicut University ,"PG [1 Year
Program(s)]",75,202,277,275,2,0,16,152,64,88,0,16
Calicut University ,"PG [2 Year
Program(s)]",394,1273,1667,1643,20,4,171,1183,1147,17,1,189
Calicut University ,"PG [3 Year
Program(s)]",11,22,33,33,0,0,7,23,1,0,0,29
University of Hyderabad ,"PG [2 Year
Program(s)]",1273,900,2173,673,1481,19,54,1346,291,0,0,1109
University of Hyderabad ,"PG [3 Year
Program(s)]",179,43,222,15,203,4,10,120,12,0,0,118
University of Hyderabad ,PG-Integrated,544,489,1033,438,577,18,18,638,162,0,0,494
National Institute of Technology Tiruchirappalli ,"UG [4 Years
Program(s)]",2973,698,3671,1554,1998,119,377,1635,73,1467,56,416
National Institute of Technology Tiruchirappalli ,"UG [5 Years
Program(s)]",138,89,227,109,116,2,26,128,1,82,0,71
