Institute,Ph.D (Student pursuing doctoral program till 2019-20),a,b,c
National Institute of Technology Tiruchirappalli,No. of Ph.D students graduated (including Integrated Ph.D),,,
National Institute of Technology Tiruchirappalli,,2019-20,2018-19,2017-18
National Institute of Technology Tiruchirappalli,Full Time,123,74,67
National Institute of Technology Tiruchirappalli,Part Time,50,24,21
Shanmugha Arts Science Technology & Research Academy,,,Total Students,
Shanmugha Arts Science Technology & Research Academy,Full Time,,413,
Shanmugha Arts Science Technology & Research Academy,Part Time,,208,
Shanmugha Arts Science Technology & Research Academy,No. of Ph.D students graduated (including Integrated Ph.D),,,
Shanmugha Arts Science Technology & Research Academy,,2019-20,2018-19,2017-18
Shanmugha Arts Science Technology & Research Academy,Full Time,59,30,29
Shanmugha Arts Science Technology & Research Academy,Part Time,22,14,34
Amrita Vishwa Vidyapeetham,,,Total Students,
Amrita Vishwa Vidyapeetham,Full Time,,562,
Amrita Vishwa Vidyapeetham,Part Time,,651,
Amrita Vishwa Vidyapeetham,No. of Ph.D students graduated (including Integrated Ph.D),,,
Amrita Vishwa Vidyapeetham,,2019-20,2018-19,2017-18
Amrita Vishwa Vidyapeetham,Full Time,63,130,76
Amrita Vishwa Vidyapeetham,Part Time,30,19,20
