Academic Year,"No. of first year
students intake in the
year","No. of first year
students admitted in
the year",Academic Year,"No. of students
admitted through
Lateral entry",Academic Year,"No. of students
graduating in
minimum stipulated
time","No. of students
placed","Median salary of
placed
graduates(Amount in
Rs.)","No. of students
selected for Higher
Studies",Program_name,Institute
2015-16,3060,3060,2016-17,0,2018-19,2587,933,"350000(Three Lakh
Fifty Thousand)",403,"UG [4 Years
Program(s)]",Koneru Lakshmaiah Education Foundation University (K L College of Engineering) 
2016-17,3740,3740,2017-18,0,2019-20,3123,1565,"435000(Four Lakh
Thirty Five Thousand)",310,"UG [4 Years
Program(s)]",Koneru Lakshmaiah Education Foundation University (K L College of Engineering) 
2014-15,2460,2460,2015-16,0,2017-18,2036,680,300000(Three Lakhs),428,"PG [2 Year
Program(s)]",Koneru Lakshmaiah Education Foundation University (K L College of Engineering) 
2015-16,3060,3060,2016-17,0,2018-19,2587,933,"350000(Three Lakh
Fifty Thousand)",403,"PG [2 Year
Program(s)]",Koneru Lakshmaiah Education Foundation University (K L College of Engineering) 
2016-17,3740,3740,2017-18,0,2019-20,3123,1565,"435000(Four Lakh
Thirty Five Thousand)",310,"PG [2 Year
Program(s)]",Koneru Lakshmaiah Education Foundation University (K L College of Engineering) 
2014-15,740,725,2015-16,0,2017-18,663,543,"837000(Eight lakhs
and thrity seven
thousand)",60,"UG [4 Years
Program(s)]",National Institute of Technology Warangal 
2015-16,800,785,2016-17,0,2018-19,752,644,"901325(Nine lakhs one
thousand three
hundred and twenty
five)",65,"UG [4 Years
Program(s)]",National Institute of Technology Warangal 
2016-17,800,759,2017-18,0,2019-20,720,572,900000(Nine lakhs),69,"UG [4 Years
Program(s)]",National Institute of Technology Warangal 
2014-15,740,725,2015-16,0,2017-18,663,543,"837000(Eight lakhs
and thrity seven
thousand)",60,"PG [2 Year
Program(s)]",National Institute of Technology Warangal 
2015-16,800,785,2016-17,0,2018-19,752,644,"901325(Nine lakhs one
thousand three
hundred and twenty
five)",65,"PG [2 Year
Program(s)]",National Institute of Technology Warangal 
2016-17,800,759,2017-18,0,2019-20,720,572,900000(Nine lakhs),69,"PG [2 Year
Program(s)]",National Institute of Technology Warangal 
2014-15,740,725,2015-16,0,2017-18,663,543,"837000(Eight lakhs
and thrity seven
thousand)",60,"PG [3 Year
Program(s)]",National Institute of Technology Warangal 
2015-16,800,785,2016-17,0,2018-19,752,644,"901325(Nine lakhs one
thousand three
hundred and twenty
five)",65,"PG [3 Year
Program(s)]",National Institute of Technology Warangal 
2016-17,800,759,2017-18,0,2019-20,720,572,900000(Nine lakhs),69,"PG [3 Year
Program(s)]",National Institute of Technology Warangal 
2015-16,210,218,2016-17,0,2017-18,188,49,"360000(THREE LAHK
SIXTY THOUSAND)",48,"UG [3 Years
Program(s)]",Osmania University 
2016-17,60,60,2017-18,0,2018-19,55,30,"360000(THREE LAHK
SIXTY THOUSAND)",20,"UG [3 Years
Program(s)]",Osmania University 
2017-18,60,60,2018-19,0,2019-20,55,25,"325000(THREE LAKH
TWENTY FIVE
THOUNDS)",22,"UG [3 Years
Program(s)]",Osmania University 
2015-16,210,218,2016-17,0,2017-18,188,49,"360000(THREE LAHK
SIXTY THOUSAND)",48,"UG [4 Years
Program(s)]",Osmania University 
2016-17,60,60,2017-18,0,2018-19,55,30,"360000(THREE LAHK
SIXTY THOUSAND)",20,"UG [4 Years
Program(s)]",Osmania University 
2017-18,60,60,2018-19,0,2019-20,55,25,"325000(THREE LAKH
TWENTY FIVE
THOUNDS)",22,"UG [4 Years
Program(s)]",Osmania University 
2015-16,210,218,2016-17,0,2017-18,188,49,"360000(THREE LAHK
SIXTY THOUSAND)",48,"UG [5 Years
Program(s)]",Osmania University 
2016-17,60,60,2017-18,0,2018-19,55,30,"360000(THREE LAHK
SIXTY THOUSAND)",20,"UG [5 Years
Program(s)]",Osmania University 
2017-18,60,60,2018-19,0,2019-20,55,25,"325000(THREE LAKH
TWENTY FIVE
THOUNDS)",22,"UG [5 Years
Program(s)]",Osmania University 
2015-16,210,218,2016-17,0,2017-18,188,49,"360000(THREE LAHK
SIXTY THOUSAND)",48,"PG [2 Year
Program(s)]",Osmania University 
2016-17,60,60,2017-18,0,2018-19,55,30,"360000(THREE LAHK
SIXTY THOUSAND)",20,"PG [2 Year
Program(s)]",Osmania University 
2017-18,60,60,2018-19,0,2019-20,55,25,"325000(THREE LAKH
TWENTY FIVE
THOUNDS)",22,"PG [2 Year
Program(s)]",Osmania University 
2015-16,210,218,2016-17,0,2017-18,188,49,"360000(THREE LAHK
SIXTY THOUSAND)",48,"PG [3 Year
Program(s)]",Osmania University 
2016-17,60,60,2017-18,0,2018-19,55,30,"360000(THREE LAHK
SIXTY THOUSAND)",20,"PG [3 Year
Program(s)]",Osmania University 
2017-18,60,60,2018-19,0,2019-20,55,25,"325000(THREE LAKH
TWENTY FIVE
THOUNDS)",22,"PG [3 Year
Program(s)]",Osmania University 
2015-16,180,128,2016-17,0,2017-18,124,0,0(Zero),0,"UG [3 Years
Program(s)]",Sri Venkateswara University 
2016-17,180,128,2017-18,0,2018-19,125,0,0(Zero),1,"UG [3 Years
Program(s)]",Sri Venkateswara University 
2017-18,180,140,2018-19,0,2019-20,130,25,300000(Three Lakh ),15,"UG [3 Years
Program(s)]",Sri Venkateswara University 
2015-16,180,128,2016-17,0,2017-18,124,0,0(Zero),0,"UG [4 Years
Program(s)]",Sri Venkateswara University 
2016-17,180,128,2017-18,0,2018-19,125,0,0(Zero),1,"UG [4 Years
Program(s)]",Sri Venkateswara University 
2017-18,180,140,2018-19,0,2019-20,130,25,300000(Three Lakh ),15,"UG [4 Years
Program(s)]",Sri Venkateswara University 
2015-16,180,128,2016-17,0,2017-18,124,0,0(Zero),0,"UG [5 Years
Program(s)]",Sri Venkateswara University 
2016-17,180,128,2017-18,0,2018-19,125,0,0(Zero),1,"UG [5 Years
Program(s)]",Sri Venkateswara University 
2017-18,180,140,2018-19,0,2019-20,130,25,300000(Three Lakh ),15,"UG [5 Years
Program(s)]",Sri Venkateswara University 
2015-16,180,128,2016-17,0,2017-18,124,0,0(Zero),0,"PG [2 Year
Program(s)]",Sri Venkateswara University 
2016-17,180,128,2017-18,0,2018-19,125,0,0(Zero),1,"PG [2 Year
Program(s)]",Sri Venkateswara University 
2017-18,180,140,2018-19,0,2019-20,130,25,300000(Three Lakh ),15,"PG [2 Year
Program(s)]",Sri Venkateswara University 
2015-16,180,128,2016-17,0,2017-18,124,0,0(Zero),0,"PG [3 Year
Program(s)]",Sri Venkateswara University 
2016-17,180,128,2017-18,0,2018-19,125,0,0(Zero),1,"PG [3 Year
Program(s)]",Sri Venkateswara University 
2017-18,180,140,2018-19,0,2019-20,130,25,300000(Three Lakh ),15,"PG [3 Year
Program(s)]",Sri Venkateswara University 
2015-16,120,120,2016-17,0,2017-18,97,0,0(Zero),23,"UG [3 Years
Program(s)]",Gauhati University 
2016-17,120,120,2017-18,0,2018-19,107,53,"295000(Two Lakh
Ninety Five Thousand
only)",31,"UG [3 Years
Program(s)]",Gauhati University 
2017-18,120,120,2018-19,0,2019-20,111,48,"315000(Three Lakh
Fifteen Thousand only)",52,"UG [3 Years
Program(s)]",Gauhati University 
2015-16,120,120,2016-17,0,2017-18,97,0,0(Zero),23,"UG [4 Years
Program(s)]",Gauhati University 
2016-17,120,120,2017-18,0,2018-19,107,53,"295000(Two Lakh
Ninety Five Thousand
only)",31,"UG [4 Years
Program(s)]",Gauhati University 
2017-18,120,120,2018-19,0,2019-20,111,48,"315000(Three Lakh
Fifteen Thousand only)",52,"UG [4 Years
Program(s)]",Gauhati University 
2015-16,120,120,2016-17,0,2017-18,97,0,0(Zero),23,"UG [5 Years
Program(s)]",Gauhati University 
2016-17,120,120,2017-18,0,2018-19,107,53,"295000(Two Lakh
Ninety Five Thousand
only)",31,"UG [5 Years
Program(s)]",Gauhati University 
2017-18,120,120,2018-19,0,2019-20,111,48,"315000(Three Lakh
Fifteen Thousand only)",52,"UG [5 Years
Program(s)]",Gauhati University 
2015-16,120,120,2016-17,0,2017-18,97,0,0(Zero),23,"PG [1 Year
Program(s)]",Gauhati University 
2016-17,120,120,2017-18,0,2018-19,107,53,"295000(Two Lakh
Ninety Five Thousand
only)",31,"PG [1 Year
Program(s)]",Gauhati University 
2017-18,120,120,2018-19,0,2019-20,111,48,"315000(Three Lakh
Fifteen Thousand only)",52,"PG [1 Year
Program(s)]",Gauhati University 
2015-16,120,120,2016-17,0,2017-18,97,0,0(Zero),23,"PG [2 Year
Program(s)]",Gauhati University 
2016-17,120,120,2017-18,0,2018-19,107,53,"295000(Two Lakh
Ninety Five Thousand
only)",31,"PG [2 Year
Program(s)]",Gauhati University 
2017-18,120,120,2018-19,0,2019-20,111,48,"315000(Three Lakh
Fifteen Thousand only)",52,"PG [2 Year
Program(s)]",Gauhati University 
2015-16,120,120,2016-17,0,2017-18,97,0,0(Zero),23,"PG [3 Year
Program(s)]",Gauhati University 
2016-17,120,120,2017-18,0,2018-19,107,53,"295000(Two Lakh
Ninety Five Thousand
only)",31,"PG [3 Year
Program(s)]",Gauhati University 
2017-18,120,120,2018-19,0,2019-20,111,48,"315000(Three Lakh
Fifteen Thousand only)",52,"PG [3 Year
Program(s)]",Gauhati University 
2015-16,120,120,2016-17,0,2017-18,97,0,0(Zero),23,PG-Integrated,Gauhati University 
2016-17,120,120,2017-18,0,2018-19,107,53,"295000(Two Lakh
Ninety Five Thousand
only)",31,PG-Integrated,Gauhati University 
2017-18,120,120,2018-19,0,2019-20,111,48,"315000(Three Lakh
Fifteen Thousand only)",52,PG-Integrated,Gauhati University 
2014-15,660,632,2015-16,0,2017-18,609,429,"1330000(Thirteen lakh
thirty thousand)",57,"UG [4 Years
Program(s)]",Indian Institute of Technology Guwahati 
2015-16,660,639,2016-17,0,2018-19,578,478,1500000(Fifteen lakh),49,"UG [4 Years
Program(s)]",Indian Institute of Technology Guwahati 
2016-17,660,651,2017-18,0,2019-20,597,491,"1800000(Eighteen
lakh)",58,"UG [4 Years
Program(s)]",Indian Institute of Technology Guwahati 
2014-15,660,632,2015-16,0,2017-18,609,429,"1330000(Thirteen lakh
thirty thousand)",57,"PG [2 Year
Program(s)]",Indian Institute of Technology Guwahati 
2015-16,660,639,2016-17,0,2018-19,578,478,1500000(Fifteen lakh),49,"PG [2 Year
Program(s)]",Indian Institute of Technology Guwahati 
2016-17,660,651,2017-18,0,2019-20,597,491,"1800000(Eighteen
lakh)",58,"PG [2 Year
Program(s)]",Indian Institute of Technology Guwahati 
2014-15,632,627,2015-16,0,2017-18,496,361,"570000(ve lakh
seventy thousand
rupees)",42,"UG [4 Years
Program(s)]",National Institute of Technology Silchar 
2015-16,632,606,2016-17,0,2018-19,553,404,"627000(Six lakhs
twenty seven
thousand)",45,"UG [4 Years
Program(s)]",National Institute of Technology Silchar 
2016-17,632,590,2017-18,0,2019-20,548,407,"680000(six lakhs
eighty thousand only)",48,"UG [4 Years
Program(s)]",National Institute of Technology Silchar 
2014-15,632,627,2015-16,0,2017-18,496,361,"570000(ve lakh
seventy thousand
rupees)",42,"PG [2 Year
Program(s)]",National Institute of Technology Silchar 
2015-16,632,606,2016-17,0,2018-19,553,404,"627000(Six lakhs
twenty seven
thousand)",45,"PG [2 Year
Program(s)]",National Institute of Technology Silchar 
2016-17,632,590,2017-18,0,2019-20,548,407,"680000(six lakhs
eighty thousand only)",48,"PG [2 Year
Program(s)]",National Institute of Technology Silchar 
2015-16,100,19,2016-17,0,2017-18,17,1,"264000(Two Lakh
Sixty Four Thousand)",6,"UG [3 Years
Program(s)]",Tezpur University 
2016-17,100,41,2017-18,0,2018-19,33,3,"212000(Two Lakh
Twelve Thousand)",12,"UG [3 Years
Program(s)]",Tezpur University 
2015-16,100,19,2016-17,0,2017-18,17,1,"264000(Two Lakh
Sixty Four Thousand)",6,"UG [4 Years
Program(s)]",Tezpur University 
2016-17,100,41,2017-18,0,2018-19,33,3,"212000(Two Lakh
Twelve Thousand)",12,"UG [4 Years
Program(s)]",Tezpur University 
2015-16,100,19,2016-17,0,2017-18,17,1,"264000(Two Lakh
Sixty Four Thousand)",6,"PG [1 Year
Program(s)]",Tezpur University 
2016-17,100,41,2017-18,0,2018-19,33,3,"212000(Two Lakh
Twelve Thousand)",12,"PG [1 Year
Program(s)]",Tezpur University 
2015-16,100,19,2016-17,0,2017-18,17,1,"264000(Two Lakh
Sixty Four Thousand)",6,"PG [2 Year
Program(s)]",Tezpur University 
2016-17,100,41,2017-18,0,2018-19,33,3,"212000(Two Lakh
Twelve Thousand)",12,"PG [2 Year
Program(s)]",Tezpur University 
2015-16,100,19,2016-17,0,2017-18,17,1,"264000(Two Lakh
Sixty Four Thousand)",6,"PG [3 Year
Program(s)]",Tezpur University 
2016-17,100,41,2017-18,0,2018-19,33,3,"212000(Two Lakh
Twelve Thousand)",12,"PG [3 Year
Program(s)]",Tezpur University 
2015-16,100,19,2016-17,0,2017-18,17,1,"264000(Two Lakh
Sixty Four Thousand)",6,PG-Integrated,Tezpur University 
2016-17,100,41,2017-18,0,2018-19,33,3,"212000(Two Lakh
Twelve Thousand)",12,PG-Integrated,Tezpur University 
2014-15,200,182,2015-16,0,2017-18,175,125,1000000(Ten Lakh),16,"UG [4 Years
Program(s)]",Indian Institute of Technology Patna 
2015-16,200,189,2016-17,0,2018-19,186,114,1000000(Ten Lakh),7,"UG [4 Years
Program(s)]",Indian Institute of Technology Patna 
2016-17,200,193,2017-18,0,2019-20,191,118,"1400000(Fourteen
Lakh)",8,"UG [4 Years
Program(s)]",Indian Institute of Technology Patna 
2014-15,200,182,2015-16,0,2017-18,175,125,1000000(Ten Lakh),16,"PG [2 Year
Program(s)]",Indian Institute of Technology Patna 
2015-16,200,189,2016-17,0,2018-19,186,114,1000000(Ten Lakh),7,"PG [2 Year
Program(s)]",Indian Institute of Technology Patna 
2016-17,200,193,2017-18,0,2019-20,191,118,"1400000(Fourteen
Lakh)",8,"PG [2 Year
Program(s)]",Indian Institute of Technology Patna 
2015-16,1662,1482,2016-17,0,2017-18,762,3,"510000(Five lakh ten
thousand)",48,"UG [3 Years
Program(s)]",Panjab University 
2016-17,1161,1371,2017-18,0,2018-19,847,12,"484166(Four lakh
eighty four thousand
one hundred sixty six)",113,"UG [3 Years
Program(s)]",Panjab University 
2017-18,1564,1245,2018-19,0,2019-20,1120,1,"360000(Three Lakh
sixty thousand)",49,"UG [3 Years
Program(s)]",Panjab University 
2015-16,1662,1482,2016-17,0,2017-18,762,3,"510000(Five lakh ten
thousand)",48,"UG [4 Years
Program(s)]",Panjab University 
2016-17,1161,1371,2017-18,0,2018-19,847,12,"484166(Four lakh
eighty four thousand
one hundred sixty six)",113,"UG [4 Years
Program(s)]",Panjab University 
2017-18,1564,1245,2018-19,0,2019-20,1120,1,"360000(Three Lakh
sixty thousand)",49,"UG [4 Years
Program(s)]",Panjab University 
2015-16,1662,1482,2016-17,0,2017-18,762,3,"510000(Five lakh ten
thousand)",48,"UG [5 Years
Program(s)]",Panjab University 
2016-17,1161,1371,2017-18,0,2018-19,847,12,"484166(Four lakh
eighty four thousand
one hundred sixty six)",113,"UG [5 Years
Program(s)]",Panjab University 
2017-18,1564,1245,2018-19,0,2019-20,1120,1,"360000(Three Lakh
sixty thousand)",49,"UG [5 Years
Program(s)]",Panjab University 
2015-16,1662,1482,2016-17,0,2017-18,762,3,"510000(Five lakh ten
thousand)",48,"PG [1 Year
Program(s)]",Panjab University 
2016-17,1161,1371,2017-18,0,2018-19,847,12,"484166(Four lakh
eighty four thousand
one hundred sixty six)",113,"PG [1 Year
Program(s)]",Panjab University 
2017-18,1564,1245,2018-19,0,2019-20,1120,1,"360000(Three Lakh
sixty thousand)",49,"PG [1 Year
Program(s)]",Panjab University 
2015-16,1662,1482,2016-17,0,2017-18,762,3,"510000(Five lakh ten
thousand)",48,"PG [2 Year
Program(s)]",Panjab University 
2016-17,1161,1371,2017-18,0,2018-19,847,12,"484166(Four lakh
eighty four thousand
one hundred sixty six)",113,"PG [2 Year
Program(s)]",Panjab University 
2017-18,1564,1245,2018-19,0,2019-20,1120,1,"360000(Three Lakh
sixty thousand)",49,"PG [2 Year
Program(s)]",Panjab University 
2015-16,1662,1482,2016-17,0,2017-18,762,3,"510000(Five lakh ten
thousand)",48,"PG [3 Year
Program(s)]",Panjab University 
2016-17,1161,1371,2017-18,0,2018-19,847,12,"484166(Four lakh
eighty four thousand
one hundred sixty six)",113,"PG [3 Year
Program(s)]",Panjab University 
2017-18,1564,1245,2018-19,0,2019-20,1120,1,"360000(Three Lakh
sixty thousand)",49,"PG [3 Year
Program(s)]",Panjab University 
2015-16,1662,1482,2016-17,0,2017-18,762,3,"510000(Five lakh ten
thousand)",48,PG-Integrated,Panjab University 
2016-17,1161,1371,2017-18,0,2018-19,847,12,"484166(Four lakh
eighty four thousand
one hundred sixty six)",113,PG-Integrated,Panjab University 
2017-18,1564,1245,2018-19,0,2019-20,1120,1,"360000(Three Lakh
sixty thousand)",49,PG-Integrated,Panjab University 
2015-16,0,0,2016-17,0,2017-18,0,0,0(Zero),0,"UG [3 Years
Program(s)]",Delhi Technological University 
2016-17,0,0,2017-18,0,2018-19,0,0,0(Zero),0,"UG [3 Years
Program(s)]",Delhi Technological University 
2017-18,264,195,2018-19,0,2019-20,178,30,600000(Six Lakhs ),148,"UG [3 Years
Program(s)]",Delhi Technological University 
2015-16,0,0,2016-17,0,2017-18,0,0,0(Zero),0,"UG [4 Years
Program(s)]",Delhi Technological University 
2016-17,0,0,2017-18,0,2018-19,0,0,0(Zero),0,"UG [4 Years
Program(s)]",Delhi Technological University 
2017-18,264,195,2018-19,0,2019-20,178,30,600000(Six Lakhs ),148,"UG [4 Years
Program(s)]",Delhi Technological University 
2015-16,0,0,2016-17,0,2017-18,0,0,0(Zero),0,"PG [2 Year
Program(s)]",Delhi Technological University 
2016-17,0,0,2017-18,0,2018-19,0,0,0(Zero),0,"PG [2 Year
Program(s)]",Delhi Technological University 
2017-18,264,195,2018-19,0,2019-20,178,30,600000(Six Lakhs ),148,"PG [2 Year
Program(s)]",Delhi Technological University 
2014-15,295,383,2015-16,0,2017-18,290,130,"525000(Five Lacs
Twenty Five
Thousand)",51,"UG [4 Years
Program(s)]",Guru Gobind Singh Indraprastha University 
2015-16,295,366,2016-17,0,2018-19,331,125,"550000(Five Lacs Fifty
Thousand Only)",51,"UG [4 Years
Program(s)]",Guru Gobind Singh Indraprastha University 
2016-17,295,329,2017-18,0,2019-20,234,76,600000(Six Lacs Only),56,"UG [4 Years
Program(s)]",Guru Gobind Singh Indraprastha University 
2014-15,295,383,2015-16,0,2017-18,290,130,"525000(Five Lacs
Twenty Five
Thousand)",51,"UG [5 Years
Program(s)]",Guru Gobind Singh Indraprastha University 
2015-16,295,366,2016-17,0,2018-19,331,125,"550000(Five Lacs Fifty
Thousand Only)",51,"UG [5 Years
Program(s)]",Guru Gobind Singh Indraprastha University 
2016-17,295,329,2017-18,0,2019-20,234,76,600000(Six Lacs Only),56,"UG [5 Years
Program(s)]",Guru Gobind Singh Indraprastha University 
2014-15,295,383,2015-16,0,2017-18,290,130,"525000(Five Lacs
Twenty Five
Thousand)",51,"PG [1 Year
Program(s)]",Guru Gobind Singh Indraprastha University 
2015-16,295,366,2016-17,0,2018-19,331,125,"550000(Five Lacs Fifty
Thousand Only)",51,"PG [1 Year
Program(s)]",Guru Gobind Singh Indraprastha University 
2016-17,295,329,2017-18,0,2019-20,234,76,600000(Six Lacs Only),56,"PG [1 Year
Program(s)]",Guru Gobind Singh Indraprastha University 
2014-15,295,383,2015-16,0,2017-18,290,130,"525000(Five Lacs
Twenty Five
Thousand)",51,"PG [2 Year
Program(s)]",Guru Gobind Singh Indraprastha University 
2015-16,295,366,2016-17,0,2018-19,331,125,"550000(Five Lacs Fifty
Thousand Only)",51,"PG [2 Year
Program(s)]",Guru Gobind Singh Indraprastha University 
2016-17,295,329,2017-18,0,2019-20,234,76,600000(Six Lacs Only),56,"PG [2 Year
Program(s)]",Guru Gobind Singh Indraprastha University 
2014-15,295,383,2015-16,0,2017-18,290,130,"525000(Five Lacs
Twenty Five
Thousand)",51,"PG [3 Year
Program(s)]",Guru Gobind Singh Indraprastha University 
2015-16,295,366,2016-17,0,2018-19,331,125,"550000(Five Lacs Fifty
Thousand Only)",51,"PG [3 Year
Program(s)]",Guru Gobind Singh Indraprastha University 
2016-17,295,329,2017-18,0,2019-20,234,76,600000(Six Lacs Only),56,"PG [3 Year
Program(s)]",Guru Gobind Singh Indraprastha University 
2015-16,25,17,2016-17,0,2017-18,13,0,0(Zero),0,"UG [3 Years
Program(s)]",Jamia Hamdard 
2016-17,25,14,2017-18,0,2018-19,13,0,0(Zero),0,"UG [3 Years
Program(s)]",Jamia Hamdard 
2017-18,350,99,2018-19,0,2019-20,98,0,0(Zero),0,"UG [3 Years
Program(s)]",Jamia Hamdard 
2015-16,25,17,2016-17,0,2017-18,13,0,0(Zero),0,"UG [4 Years
Program(s)]",Jamia Hamdard 
2016-17,25,14,2017-18,0,2018-19,13,0,0(Zero),0,"UG [4 Years
Program(s)]",Jamia Hamdard 
2017-18,350,99,2018-19,0,2019-20,98,0,0(Zero),0,"UG [4 Years
Program(s)]",Jamia Hamdard 
2015-16,25,17,2016-17,0,2017-18,13,0,0(Zero),0,"UG [5 Years
Program(s)]",Jamia Hamdard 
2016-17,25,14,2017-18,0,2018-19,13,0,0(Zero),0,"UG [5 Years
Program(s)]",Jamia Hamdard 
2017-18,350,99,2018-19,0,2019-20,98,0,0(Zero),0,"UG [5 Years
Program(s)]",Jamia Hamdard 
2015-16,25,17,2016-17,0,2017-18,13,0,0(Zero),0,"PG [2 Year
Program(s)]",Jamia Hamdard 
2016-17,25,14,2017-18,0,2018-19,13,0,0(Zero),0,"PG [2 Year
Program(s)]",Jamia Hamdard 
2017-18,350,99,2018-19,0,2019-20,98,0,0(Zero),0,"PG [2 Year
Program(s)]",Jamia Hamdard 
2015-16,25,17,2016-17,0,2017-18,13,0,0(Zero),0,"PG [3 Year
Program(s)]",Jamia Hamdard 
2016-17,25,14,2017-18,0,2018-19,13,0,0(Zero),0,"PG [3 Year
Program(s)]",Jamia Hamdard 
2017-18,350,99,2018-19,0,2019-20,98,0,0(Zero),0,"PG [3 Year
Program(s)]",Jamia Hamdard 
2015-16,25,17,2016-17,0,2017-18,13,0,0(Zero),0,PG-Integrated,Jamia Hamdard 
2016-17,25,14,2017-18,0,2018-19,13,0,0(Zero),0,PG-Integrated,Jamia Hamdard 
2017-18,350,99,2018-19,0,2019-20,98,0,0(Zero),0,PG-Integrated,Jamia Hamdard 
2015-16,950,950,2016-17,0,2017-18,903,169,400000(Four Lac),704,"UG [3 Years
Program(s)]",Jamia Millia Islamia 
2016-17,950,950,2017-18,0,2018-19,916,197,"440000(Four Lac Forty
Thousand)",711,"UG [3 Years
Program(s)]",Jamia Millia Islamia 
2017-18,983,983,2018-19,0,2019-20,983,223,"420000(Four Lac
Twenty Thousand)",760,"UG [3 Years
Program(s)]",Jamia Millia Islamia 
2015-16,950,950,2016-17,0,2017-18,903,169,400000(Four Lac),704,"UG [4 Years
Program(s)]",Jamia Millia Islamia 
2016-17,950,950,2017-18,0,2018-19,916,197,"440000(Four Lac Forty
Thousand)",711,"UG [4 Years
Program(s)]",Jamia Millia Islamia 
2017-18,983,983,2018-19,0,2019-20,983,223,"420000(Four Lac
Twenty Thousand)",760,"UG [4 Years
Program(s)]",Jamia Millia Islamia 
2015-16,950,950,2016-17,0,2017-18,903,169,400000(Four Lac),704,"UG [5 Years
Program(s)]",Jamia Millia Islamia 
2016-17,950,950,2017-18,0,2018-19,916,197,"440000(Four Lac Forty
Thousand)",711,"UG [5 Years
Program(s)]",Jamia Millia Islamia 
2017-18,983,983,2018-19,0,2019-20,983,223,"420000(Four Lac
Twenty Thousand)",760,"UG [5 Years
Program(s)]",Jamia Millia Islamia 
2015-16,950,950,2016-17,0,2017-18,903,169,400000(Four Lac),704,"PG [2 Year
Program(s)]",Jamia Millia Islamia 
2016-17,950,950,2017-18,0,2018-19,916,197,"440000(Four Lac Forty
Thousand)",711,"PG [2 Year
Program(s)]",Jamia Millia Islamia 
2017-18,983,983,2018-19,0,2019-20,983,223,"420000(Four Lac
Twenty Thousand)",760,"PG [2 Year
Program(s)]",Jamia Millia Islamia 
2015-16,950,950,2016-17,0,2017-18,903,169,400000(Four Lac),704,"PG [3 Year
Program(s)]",Jamia Millia Islamia 
2016-17,950,950,2017-18,0,2018-19,916,197,"440000(Four Lac Forty
Thousand)",711,"PG [3 Year
Program(s)]",Jamia Millia Islamia 
2017-18,983,983,2018-19,0,2019-20,983,223,"420000(Four Lac
Twenty Thousand)",760,"PG [3 Year
Program(s)]",Jamia Millia Islamia 
2015-16,416,366,2016-17,0,2017-18,264,7,"420000(Four lakh
twenty thousand only)",257,"UG [3 Years
Program(s)]",Jawaharlal Nehru University 
2016-17,426,382,2017-18,0,2018-19,262,22,"630000(Six lakh thirty
thousand only)",240,"UG [3 Years
Program(s)]",Jawaharlal Nehru University 
2017-18,426,404,2018-19,0,2019-20,310,20,"600000(Six Lakhs
only)",45,"UG [3 Years
Program(s)]",Jawaharlal Nehru University 
2015-16,416,366,2016-17,0,2017-18,264,7,"420000(Four lakh
twenty thousand only)",257,"PG [2 Year
Program(s)]",Jawaharlal Nehru University 
2016-17,426,382,2017-18,0,2018-19,262,22,"630000(Six lakh thirty
thousand only)",240,"PG [2 Year
Program(s)]",Jawaharlal Nehru University 
2017-18,426,404,2018-19,0,2019-20,310,20,"600000(Six Lakhs
only)",45,"PG [2 Year
Program(s)]",Jawaharlal Nehru University 
2015-16,416,366,2016-17,0,2017-18,264,7,"420000(Four lakh
twenty thousand only)",257,"PG [3 Year
Program(s)]",Jawaharlal Nehru University 
2016-17,426,382,2017-18,0,2018-19,262,22,"630000(Six lakh thirty
thousand only)",240,"PG [3 Year
Program(s)]",Jawaharlal Nehru University 
2017-18,426,404,2018-19,0,2019-20,310,20,"600000(Six Lakhs
only)",45,"PG [3 Year
Program(s)]",Jawaharlal Nehru University 
2015-16,416,366,2016-17,0,2017-18,264,7,"420000(Four lakh
twenty thousand only)",257,PG-Integrated,Jawaharlal Nehru University 
2016-17,426,382,2017-18,0,2018-19,262,22,"630000(Six lakh thirty
thousand only)",240,PG-Integrated,Jawaharlal Nehru University 
2017-18,426,404,2018-19,0,2019-20,310,20,"600000(Six Lakhs
only)",45,PG-Integrated,Jawaharlal Nehru University 
2015-16,378,296,2016-17,0,2017-18,202,95,"430000(Four lakhs
Thirty Thousands)",107,"UG [3 Years
Program(s)]",University of Delhi 
2016-17,348,363,2017-18,0,2018-19,267,62,400000(Four lakhs),131,"UG [3 Years
Program(s)]",University of Delhi 
2015-16,378,296,2016-17,0,2017-18,202,95,"430000(Four lakhs
Thirty Thousands)",107,"UG [4 Years
Program(s)]",University of Delhi 
2016-17,348,363,2017-18,0,2018-19,267,62,400000(Four lakhs),131,"UG [4 Years
Program(s)]",University of Delhi 
2015-16,378,296,2016-17,0,2017-18,202,95,"430000(Four lakhs
Thirty Thousands)",107,"PG [1 Year
Program(s)]",University of Delhi 
2016-17,348,363,2017-18,0,2018-19,267,62,400000(Four lakhs),131,"PG [1 Year
Program(s)]",University of Delhi 
2015-16,378,296,2016-17,0,2017-18,202,95,"430000(Four lakhs
Thirty Thousands)",107,"PG [2 Year
Program(s)]",University of Delhi 
2016-17,348,363,2017-18,0,2018-19,267,62,400000(Four lakhs),131,"PG [2 Year
Program(s)]",University of Delhi 
2015-16,378,296,2016-17,0,2017-18,202,95,"430000(Four lakhs
Thirty Thousands)",107,"PG [3 Year
Program(s)]",University of Delhi 
