Academic Year,"No. of first year
students intake in the
year","No. of first year
students admitted in
the year",Academic Year,"No. of students
admitted through
Lateral entry",Academic Year,"No. of students
graduating in
minimum stipulated
time","No. of students
placed","Median salary of
placed
graduates(Amount in
Rs.)","No. of students
selected for Higher
Studies",Program_name,Institute
2014-15,240,234,2015-16,2,2017-18,194,140,"252000(Two Lakh Fifty
Two Thousand)",49,"UG [4 Years
Program(s)]",Dr. D. Y. Patil Vidyapeeth 
2015-16,280,276,2016-17,2,2018-19,238,177,"264000(Two Lakh
Sixty Four Thousamd)",55,"UG [4 Years
Program(s)]",Dr. D. Y. Patil Vidyapeeth 
2016-17,290,280,2017-18,5,2019-20,233,179,"240000(Two Lakh
Forty Thousand)",51,"UG [4 Years
Program(s)]",Dr. D. Y. Patil Vidyapeeth 
2014-15,240,234,2015-16,2,2017-18,194,140,"252000(Two Lakh Fifty
Two Thousand)",49,"UG [5 Years
Program(s)]",Dr. D. Y. Patil Vidyapeeth 
2015-16,280,276,2016-17,2,2018-19,238,177,"264000(Two Lakh
Sixty Four Thousamd)",55,"UG [5 Years
Program(s)]",Dr. D. Y. Patil Vidyapeeth 
2016-17,290,280,2017-18,5,2019-20,233,179,"240000(Two Lakh
Forty Thousand)",51,"UG [5 Years
Program(s)]",Dr. D. Y. Patil Vidyapeeth 
2014-15,240,234,2015-16,2,2017-18,194,140,"252000(Two Lakh Fifty
Two Thousand)",49,"PG [2 Year
Program(s)]",Dr. D. Y. Patil Vidyapeeth 
2015-16,280,276,2016-17,2,2018-19,238,177,"264000(Two Lakh
Sixty Four Thousamd)",55,"PG [2 Year
Program(s)]",Dr. D. Y. Patil Vidyapeeth 
2016-17,290,280,2017-18,5,2019-20,233,179,"240000(Two Lakh
Forty Thousand)",51,"PG [2 Year
Program(s)]",Dr. D. Y. Patil Vidyapeeth 
2014-15,240,234,2015-16,2,2017-18,194,140,"252000(Two Lakh Fifty
Two Thousand)",49,"PG [3 Year
Program(s)]",Dr. D. Y. Patil Vidyapeeth 
2015-16,280,276,2016-17,2,2018-19,238,177,"264000(Two Lakh
Sixty Four Thousamd)",55,"PG [3 Year
Program(s)]",Dr. D. Y. Patil Vidyapeeth 
