Institute
Indian Institute of Engineering Science and Technology 
Siksha `O` Anusandhan 
Manipal Academy of Higher Education 
Jamia Millia Islamia 
Jawaharlal Nehru University 
Tata Institute of Social Sciences 
National Institute of Technology Durgapur 
Mysore University 
Indian Institute of Technology (Indian School of Mines) 
National Institute of Technology Karnataka 
North Eastern Hill University 
Institute of Chemical Technology 
Alagappa University 
Indian Institute of Technology Hyderabad 
Anna University 
National Institute of Technology Warangal 
Thapar Institute of Engineering and Technology 
Jadavpur University 
Pondicherry University 
Indian Institute of Technology Gandhinagar 
Shiv Nadar University 
Indian Institute of Technology Bombay 
Delhi Technological University 
Indian Institute of Technology Roorkee 
Sathyabama Institute of Science and Technology 
Calicut University 
Bharathidasan University 
SVKM`s Narsee Monjee Institute of Management Studies 
Homi Bhabha National Institute 
Indian Institute of Technology Madras 
PSG College of Technology 
Amrita Vishwa Vidyapeetham 
Bharath Institute of Higher Education & Research 
Indian Institute of Technology Guwahati 
Savitribai Phule Pune University 
Mahatma Gandhi University 
Indian Institute of Technology Mandi 
Panjab University 
National Institute of Technology Tiruchirappalli 
Indian Institute of Science Education & Research Kolkata 
"Andhra University, Visakhapatnam "
Indian Institute of Technology Bhubaneswar 
Shanmugha Arts Science Technology & Research Academy 
Indian Institute of Science Education & Research Pune 
University of Kashmir 
Guru Nanak Dev University 
S.R.M. Institute of Science and Technology 
Vellore Institute of Technology 
Dr. D. Y. Patil Vidyapeeth 
Indian Institute of Technology Delhi 
Sri Sivasubramaniya Nadar College of Engineering 
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) 
University of Madras 
University of Delhi 
Cochin University of Science and Technology 
Tezpur University 
"Indian Institute of Science Education & Research, Mohali "
Banasthali Vidyapith 
JSS Academy of Higher Education and Research 
Symbiosis International 
Indian Institute of Technology (Banaras Hindu University) Varanasi 
Saveetha Institute of Medical and Technical Sciences 
Jamia Hamdard 
Indian Institute of Technology Kharagpur 
King George`s Medical University 
National Institute of Technology Rourkela 
Osmania University 
Indian Institute of Technology Kanpur 
Kalinga Institute of Industrial Technology 
Amity University 
Birla Institute of Technology & Science -Pilani 
Banaras Hindu University 
Indian Institute of Science 
Sri Venkateswara University 
Indian Institute of Science Education & Research Bhopal 
Madurai Kamaraj University 
Sri Ramachandra Institute of Higher Education and Research 
Bharathiar University 
Kerala University 
Calcutta University 
Datta Meghe Institute of Medical Sciences 
University of Hyderabad 
Aligarh Muslim University 
Indian Institute of Technology Patna 
Gauhati University 
Visva Bharati 
