Academic Year,"No. of first year
students intake in the
year","No. of first year
students admitted in
the year",Academic Year,"No. of students
admitted through
Lateral entry",Academic Year,"No. of students
graduating in
minimum stipulated
time","No. of students
placed","Median salary of
placed
graduates(Amount in
Rs.)","No. of students
selected for Higher
Studies",Program_name,Institute
2012-13,827,828,2013-14,0,2015-16,622,275,"1470000(Rupees
Fourteen lakh Seventy
Thousand Only)",231,"PG [2 Year
Program(s)]", Indian Institute of Technology Kanpur 
2013-14,827,804,2014-15,0,2016-17,716,392,"1300000(Rupees
Thirteen Lakhs only)",305,"PG [2 Year
Program(s)]", Indian Institute of Technology Kanpur 
2014-15,827,809,2015-16,0,2017-18,789,354,"1400000(Rupees
Fourteen Lakhs only)",387,"PG [2 Year
Program(s)]", Indian Institute of Technology Kanpur 
2012-13,320,286,2013-14,4,2015-16,228,155,"180000(One Lakh
Eighty Thousand)",54,"UG [5 Years
Program(s)]", Dr. D. Y. Patil Vidyapeeth 
2013-14,320,278,2014-15,9,2016-17,246,189,"210000(Two Lakh Ten
Thousand)",41,"UG [5 Years
Program(s)]", Dr. D. Y. Patil Vidyapeeth 
2014-15,380,374,2015-16,2,2017-18,305,187,"240000(Two Lakh
Forty Thousand)",60,"UG [5 Years
Program(s)]", Dr. D. Y. Patil Vidyapeeth 
2012-13,320,286,2013-14,4,2015-16,228,155,"180000(One Lakh
Eighty Thousand)",54,"UG [4 Years
Program(s)]", Dr. D. Y. Patil Vidyapeeth 
2013-14,320,278,2014-15,9,2016-17,246,189,"210000(Two Lakh Ten
Thousand)",41,"UG [4 Years
Program(s)]", Dr. D. Y. Patil Vidyapeeth 
2014-15,380,374,2015-16,2,2017-18,305,187,"240000(Two Lakh
Forty Thousand)",60,"UG [4 Years
Program(s)]", Dr. D. Y. Patil Vidyapeeth 
2012-13,320,286,2013-14,4,2015-16,228,155,"180000(One Lakh
Eighty Thousand)",54,"PG [2 Year
Program(s)]", Dr. D. Y. Patil Vidyapeeth 
2013-14,320,278,2014-15,9,2016-17,246,189,"210000(Two Lakh Ten
Thousand)",41,"PG [2 Year
Program(s)]", Dr. D. Y. Patil Vidyapeeth 
2014-15,380,374,2015-16,2,2017-18,305,187,"240000(Two Lakh
Forty Thousand)",60,"PG [2 Year
Program(s)]", Dr. D. Y. Patil Vidyapeeth 
2012-13,320,286,2013-14,4,2015-16,228,155,"180000(One Lakh
Eighty Thousand)",54,"PG [3 Year
Program(s)]", Dr. D. Y. Patil Vidyapeeth 
2013-14,320,278,2014-15,9,2016-17,246,189,"210000(Two Lakh Ten
Thousand)",41,"PG [3 Year
Program(s)]", Dr. D. Y. Patil Vidyapeeth 
