Academic Year,"No. of first year
students intake in the
year","No. of first year
students admitted in
the year",Academic Year,"No. of students graduating in minimum
stipulated time","No. of students
placed","Median salary of
placed
graduates(Amount in
Rs.)","No. of students
selected for Higher
Studies",Program_name,Institute
2015-16,1440,1029,2016-17,787,232,"315132(Three lakhs
fifteen thousand one
hundred and thirty two
only)",140,"PG [2 Year
Program(s)]", University of Madras 
2016-17,1490,1121,2017-18,875,252,"301915(Three lakhs
one thousand nine
hundred and fifteen
only)",138,"PG [2 Year
Program(s)]", University of Madras 
2017-18,1465,1298,2018-19,1061,246,"321805(Three lakhs
twenty one thousand
eight hundred and five
only)",149,"PG [2 Year
Program(s)]", University of Madras 
2015-16,1440,1029,2016-17,787,232,"315132(Three lakhs
fifteen thousand one
hundred and thirty two
only)",140,"PG [3 Year
Program(s)]", University of Madras 
2016-17,1490,1121,2017-18,875,252,"301915(Three lakhs
one thousand nine
hundred and fifteen
only)",138,"PG [3 Year
Program(s)]", University of Madras 
2017-18,1465,1298,2018-19,1061,246,"321805(Three lakhs
twenty one thousand
eight hundred and five
only)",149,"PG [3 Year
Program(s)]", University of Madras 
2015-16,940,884,2016-17,800,184,"500000(Five lakhs
only)",135,"PG [2 Year
Program(s)]", University of Hyderabad 
2016-17,1193,1061,2017-18,764,202,"455000(Four lakhs fifty
five thousand only)",174,"PG [2 Year
Program(s)]", University of Hyderabad 
2017-18,1258,1209,2018-19,930,232,"660000(Six lakhs sixty
thousand only )",213,"PG [2 Year
Program(s)]", University of Hyderabad 
2015-16,940,884,2016-17,800,184,"500000(Five lakhs
only)",135,"PG [3 Year
Program(s)]", University of Hyderabad 
2016-17,1193,1061,2017-18,764,202,"455000(Four lakhs fifty
five thousand only)",174,"PG [3 Year
Program(s)]", University of Hyderabad 
2017-18,1258,1209,2018-19,930,232,"660000(Six lakhs sixty
thousand only )",213,"PG [3 Year
Program(s)]", University of Hyderabad 
2015-16,940,884,2016-17,800,184,"500000(Five lakhs
only)",135,PG-Integrated, University of Hyderabad 
2016-17,1193,1061,2017-18,764,202,"455000(Four lakhs fifty
five thousand only)",174,PG-Integrated, University of Hyderabad 
2017-18,1258,1209,2018-19,930,232,"660000(Six lakhs sixty
thousand only )",213,PG-Integrated, University of Hyderabad 
2015-16,1770,1702,2016-17,1634,715,"225000(Two Lacs
Twenty Five
Thousand)",320,"PG [2 Year
Program(s)]", Gujarat University 
2016-17,1770,1706,2017-18,1597,755,"240000(Two Lacs
Fourty Thousand)",365,"PG [2 Year
Program(s)]", Gujarat University 
2017-18,1770,1706,2018-19,1610,686,"481000(Four Lacs
Eighty One Thousand)",538,"PG [2 Year
Program(s)]", Gujarat University 
2016-17,243,243,2016-17,227,23,"282000(Two Lakhs
Eighty Two Thousand )",195,"PG [1 Year
Program(s)]", Kerala University 
2017-18,257,257,2017-18,239,21,"252000(Two Lakhs
Fifty Two Thousand)",207,"PG [1 Year
Program(s)]", Kerala University 
